Label.ID.,Cell.ID.,Transcript.Count
342,356,155
343,357,3
344,359,5
345,358,5
346,360,10
347,361,0
348,362,21
349,363,0
350,364,0
351,365,0
352,366,10
353,367,30
354,368,1
355,370,1
356,369,2
357,371,3
358,372,23
359,373,0
360,375,0
361,374,0
362,376,0
363,377,1
364,378,3
365,379,2
366,380,2
367,381,3
368,382,3
369,383,1
370,384,1
371,385,15
372,386,2
373,387,1
374,393,1
375,388,4
376,390,0
377,391,0
378,389,20
379,392,3
380,394,1
381,395,20
382,396,6
383,397,12
384,398,0
385,399,11
386,400,0
387,401,4
388,402,51
389,403,12
390,404,21
391,405,1
392,406,3
393,408,2
394,407,1
395,409,0
396,410,6
397,411,0
398,412,12
399,413,0
400,415,1
401,414,32
402,416,0
403,417,0
404,418,1
405,419,3
406,420,2
407,421,0
408,422,5
409,423,0
410,425,3
411,424,10
412,426,20
413,427,19
414,428,22
415,429,4
416,430,1
417,431,20
418,432,41
419,433,0
420,434,1
421,435,0
422,436,3
423,437,0
424,438,0
425,439,0
426,442,7
427,440,1
428,441,52
429,443,6
430,444,36
431,445,4
432,446,0
433,447,36
434,448,0
435,449,0
436,450,11
437,451,22
438,452,0
439,453,2
440,454,6
441,456,207
442,455,0
443,457,1
444,458,0
445,459,32
446,460,8
447,461,37
448,462,0
449,463,8
450,464,2
451,465,4
452,466,2
453,467,7
454,468,0
455,469,6
456,470,3
457,471,2
458,472,0
459,473,32
460,474,2
461,475,14
462,476,10
463,477,2
464,478,25
465,479,6
466,480,60
467,481,38
468,482,2
469,483,1
470,484,14
471,485,0
472,486,0
473,487,0
474,488,1
475,489,0
476,490,0
477,493,0
478,491,0
479,492,0
480,494,2
481,495,0
482,496,0
483,497,1
484,498,5
485,499,12
486,504,4
487,500,2
488,501,3
489,502,7
490,503,27
491,505,0
492,506,1
493,507,1
494,508,0
495,509,4
496,510,1
497,511,5
498,512,1
499,513,0
500,514,0
501,515,9
502,516,1
503,517,11
504,518,2
505,521,2
506,519,0
507,520,0
508,522,0
509,523,0
510,524,0
511,526,1
512,525,0
513,527,0
514,530,0
515,529,38
516,528,22
517,531,10
518,532,17
519,533,1
520,534,1
521,535,0
522,536,2
523,538,0
524,537,0
525,539,1
526,540,0
527,541,6
528,542,0
529,543,1
530,544,0
531,545,25
532,546,0
533,547,12
534,548,0
535,549,0
536,550,2
537,552,14
538,551,1
539,553,6
540,554,5
541,555,0
542,557,0
543,556,0
544,558,0
545,559,1
546,560,3
547,561,1
548,562,16
549,563,8
550,564,4
551,565,1
552,566,2
553,567,1
554,568,0
555,569,0
556,570,2
557,571,0
558,572,0
559,573,3
560,574,0
561,575,2
562,576,4
563,577,1
564,578,21
565,579,1
566,580,0
567,581,0
568,582,34
569,583,30
570,584,0
571,585,2
572,586,2
573,587,4
574,589,7
575,588,3
576,590,0
577,591,7
578,593,0
579,592,2
580,594,5
581,596,18
582,595,20
583,597,0
584,598,11
585,599,24
586,600,0
587,601,1
588,602,35
589,603,11
590,604,0
591,605,3
592,606,0
593,607,9
594,608,0
595,610,101
596,609,3
597,611,2
598,612,76
599,614,17
600,613,0
601,615,2
602,616,9
603,617,0
604,620,174
605,618,1
606,619,4
607,621,41
608,622,32
609,623,32
610,624,0
611,627,0
612,625,9
613,626,10
614,628,2
615,629,4
616,630,1
617,631,3
618,632,0
619,633,3
620,634,11
621,635,5
622,636,40
623,638,1
624,637,0
625,639,3
626,640,7
627,641,1
628,643,3
629,642,14
630,644,4
631,645,57
632,646,6
633,647,8
634,648,2
635,649,72
636,650,23
637,651,2
638,652,7
639,653,8
640,654,4
641,655,2
642,656,1
643,658,0
644,657,6
645,659,8
646,660,7
647,662,3
648,663,1
649,664,11
650,665,36
651,666,8
652,667,12
653,668,2
654,669,24
655,670,35
656,671,1
657,672,0
658,673,29
659,674,15
660,675,0
661,676,5
662,677,2
663,678,0
664,679,6
665,681,2
666,680,1
667,682,28
668,683,8
669,684,0
670,685,1
671,686,42
672,687,0
673,688,1
674,691,2
675,690,0
676,689,0
677,692,1
678,693,0
679,694,7
680,695,7
681,696,5
682,697,5
683,698,6
684,699,5
685,700,13
686,702,7
687,701,7
688,703,0
689,704,0
690,705,0
691,706,37
692,707,2
693,708,29
694,709,0
695,711,4
696,710,25
697,712,0
698,713,134
699,714,24
700,715,43
701,716,5
702,717,0
703,718,0
704,719,47
705,720,4
706,721,28
707,722,1
708,723,3
709,724,19
710,725,4
711,726,90
712,727,0
713,728,1
714,729,35
715,730,0
716,731,10
717,732,4
718,733,0
719,734,0
720,735,0
721,736,0
722,737,2
723,738,0
724,739,51
725,740,28
726,741,3
727,742,2
728,743,0
729,744,6
730,746,1
731,747,0
732,748,3
733,749,61
734,750,2
735,751,2
736,752,20
737,753,11
738,754,18
739,755,1
740,756,18
741,757,3
742,758,11
743,759,2
744,760,1
745,761,6
746,762,4
747,763,16
748,764,4
749,765,10
750,766,5
751,767,2
752,768,0
753,771,0
754,769,0
755,770,4
756,772,21
757,773,41
758,774,55
759,775,57
760,776,11
761,777,4
762,778,16
763,779,9
764,780,3
765,781,2
766,782,5
767,783,9
768,784,0
769,785,2
770,786,5
771,787,0
772,789,54
773,788,0
774,790,1
775,791,13
776,792,12
777,793,1
778,794,32
779,795,7
780,796,36
781,797,6
782,798,1
783,799,27
784,800,12
785,801,0
786,802,4
787,803,6
788,804,0
789,806,19
790,805,12
791,807,8
792,808,413
793,809,0
794,810,0
795,811,0
796,812,9
797,813,2
798,814,28
799,815,1
800,816,9
801,817,0
802,818,6
803,819,0
804,820,0
805,821,1
806,822,1
807,823,72
808,824,15
809,825,0
810,826,2
811,827,11
812,828,33
813,829,1
814,830,28
815,832,6
816,831,16
817,833,6
818,834,0
819,835,0
820,839,0
821,836,80
822,837,2
823,838,5
824,840,0
825,841,0
826,842,0
827,843,1
828,844,87
829,845,3
830,846,0
831,847,0
832,848,6
833,849,2
834,850,102
835,853,16
836,852,16
837,851,0
838,854,38
839,855,11
840,856,1
841,857,2
842,858,0
843,859,6
844,860,7
845,861,0
846,862,22
847,863,2
848,864,1
849,865,6
850,866,0
851,867,1
852,868,0
853,869,3
854,870,5
855,871,2
856,872,30
857,873,1
858,874,0
859,875,56
860,876,11
861,877,7
862,878,0
863,879,72
864,880,2
865,881,13
866,882,0
867,884,0
868,883,20
869,885,13
870,887,0
871,886,0
872,888,0
873,891,1
874,892,0
875,889,2
876,890,2
877,893,0
878,894,0
879,895,5
880,896,2
881,897,0
882,898,0
883,900,7
884,899,0
885,902,15
886,901,2
887,903,6
888,904,0
889,905,21
890,906,0
891,907,1
892,908,0
893,909,1
894,910,0
895,911,0
896,912,0
897,913,2
898,914,0
899,915,0
900,916,1
901,917,0
902,918,7
903,920,1
904,919,1
905,921,0
906,922,10
907,923,0
908,924,0
909,925,0
910,926,2
911,927,0
912,928,0
913,929,1
914,930,0
915,933,14
916,931,0
917,932,7
918,934,0
919,935,16
920,936,3
921,937,37
922,938,0
923,939,0
924,940,5
925,941,35
926,942,4
927,943,30
928,944,0
929,945,3
930,946,7
931,947,3
932,948,2
933,949,2
934,950,6
935,951,60
936,952,0
937,953,3
938,954,2
939,955,0
940,956,0
941,957,0
942,958,2
943,959,32
944,960,0
945,961,0
946,962,0
947,963,0
948,964,5
949,965,47
950,966,2
951,967,10
952,968,3
953,969,10
954,970,22
955,971,0
956,972,1
957,973,8
958,974,16
959,975,0
960,976,2
961,977,2
962,978,0
963,979,4
964,980,16
965,981,58
966,982,35
967,983,0
968,984,13
969,985,7
970,986,0
971,987,0
972,988,18
973,990,0
974,989,16
975,991,1
976,992,0
977,993,0
978,994,1
979,995,0
980,996,0
981,998,0
982,997,1
983,999,107
984,1000,7
985,1002,10
986,1001,2
987,1003,1
988,1004,49
989,1005,4
990,1006,12
991,1007,2
992,1008,0
993,1009,52
994,1010,1
995,1011,14
996,1012,5
997,1013,54
998,1014,1
999,1015,0
1000,1016,44
1001,1017,10
1002,1018,0
1003,1020,107
1004,1019,148
1005,1021,5
1006,1023,0
1007,1022,7
1008,1025,0
1009,1024,7
1010,1026,1
1011,1027,0
1012,1028,3
1013,1031,0
1014,1029,9
1015,1030,3
1016,1033,16
1017,1032,35
1018,1034,3
1019,1035,7
1020,1036,5
1021,1037,5
1022,1038,5
1023,1040,2
1024,1041,4
1025,1039,0
1026,1042,5
1027,1043,27
1028,1044,5
1029,1045,12
1030,1046,0
1031,1047,2
1032,1049,0
1033,1050,0
1034,1051,0
1035,1052,0
1036,1053,8
1037,1054,7
1038,1055,3
1039,1057,1
1040,1056,0
1041,1058,1
1042,1060,0
1043,1059,0
1044,1061,5
1045,1062,0
1046,1063,1
1047,1064,34
1048,1065,0
1049,1066,14
1050,1067,0
1051,1068,6
1052,1069,15
1053,1070,3
1054,1071,2
1055,1072,13
1056,1073,0
1057,1074,0
1058,1075,0
1059,1076,13
1060,1077,0
1061,1078,4
1062,1079,92
1063,1080,0
1064,1081,3
1065,1082,9
1066,1083,0
1067,1084,5
1068,1085,71
1069,1086,2
1070,1087,3
1071,1088,6
1072,1089,2
1073,1091,4
1074,1090,0
1075,1092,0
1076,1093,0
1077,1094,6
1078,1095,50
1079,1096,0
1080,1100,51
1081,1097,0
1082,1098,0
1083,1099,8
1084,1102,0
1085,1101,68
1086,1103,7
1087,1104,2
1088,1105,0
1089,1106,4
1090,1107,0
1091,1108,3
1092,1110,0
1093,1109,0
1094,1111,25
1095,1112,24
1096,1113,0
1097,1114,0
1098,1115,2
1099,1116,0
1100,1117,2
1101,1118,14
1102,1120,0
1103,1121,0
1104,1123,9
1105,1122,7
1106,1124,0
1107,1125,4
1108,1126,2
1109,1127,0
1110,1129,1
1111,1128,2
1112,1130,7
1113,1131,1
1114,1132,22
1115,1133,5
1116,1134,0
1117,1135,3
1118,1136,0
1119,1137,41
1120,1138,2
1121,1139,3
1122,1140,0
1123,1141,1
1124,1142,0
1125,1143,0
1126,1145,2
1127,1146,0
1128,1144,3
1129,1147,88
1130,1148,0
1131,1149,0
1132,1150,4
1133,1151,3
1134,1152,82
1135,1153,6
1136,1154,13
1137,1155,3
1138,1156,87
1139,1157,0
1140,1158,2
1141,1159,5
1142,1160,2
1143,1161,0
1144,1163,1
1145,1162,0
1146,1165,0
1147,1164,0
1148,1166,3
1149,1167,0
1150,1168,0
1151,1169,0
1152,1170,19
1153,1171,0
1154,1172,3
1155,1173,1
1156,1175,5
1157,1176,0
1158,1177,4
1159,1178,4
1160,1179,0
1161,1180,0
1162,1181,15
1163,1182,3
1164,1183,0
1165,1184,2
1166,1185,0
1167,1186,0
1168,1187,11
1169,1188,3
1170,1189,4
1171,1190,2
1172,1191,113
1173,1192,0
1174,1193,12
1175,1194,2
1176,1195,0
1177,1196,0
1178,1197,0
1179,1198,1
1180,1199,0
1181,1200,1
1182,1201,12
1183,1203,9
1184,1202,4
1185,1204,7
1186,1205,1
1187,1206,0
1188,1207,0
1189,1208,20
1190,1209,25
1191,1210,0
1192,1211,2
1193,1213,3
1194,1212,0
1195,1214,2
1196,1215,34
1197,1216,20
1198,1217,11
1199,1218,0
1200,1219,90
1201,1220,3
1202,1222,0
1203,1221,1
1204,1223,27
1205,1224,59
1206,1225,35
1207,1227,1
1208,1226,0
1209,1228,3
1210,1229,0
1211,1230,9
1212,1231,6
1213,1232,3
1214,1233,2
1215,1234,2
1216,1235,2
1217,1236,0
1218,1237,28
1219,1238,1
1220,1239,1
1221,1240,46
1222,1242,22
1223,1241,0
1224,1243,0
1225,1244,2
1226,1245,3
1227,1250,4
1228,1246,0
1229,1248,10
1230,1249,16
1231,1247,0
1232,1251,0
1233,1252,30
1234,1253,4
1235,1254,2
1236,1255,1
1237,1256,17
1238,1257,7
1239,1259,6
1240,1258,9
1241,1260,11
1242,1261,5
1243,1262,0
1244,1263,1
1245,1264,0
1246,1265,5
1247,1266,0
1248,1269,0
1249,1267,52
1250,1268,21
1251,1270,45
1252,1272,57
1253,1271,0
1254,1273,0
1255,1274,5
1256,1275,2
1257,1276,9
1258,1277,1
1259,1278,6
1260,1279,0
1261,1281,146
1262,1280,4
1263,1282,4
1264,1283,1
1265,1284,4
1266,1285,2
1267,1287,1
1268,1288,101
1269,1286,0
1270,1289,14
1271,1290,2
1272,1291,207
1273,1294,0
1274,1292,4
1275,1293,6
1276,1295,13
1277,1297,3
1278,1296,28
1279,1298,0
1280,1299,29
1281,1300,16
1282,1301,0
1283,1302,0
1284,1306,4
1285,1303,3
1286,1304,0
1287,1305,33
1288,1307,17
1289,1308,5
1290,1309,5
1291,1310,21
1292,1311,0
1293,1312,1
1294,1313,4
1295,1314,2
1296,1315,11
1297,1316,2
1298,1317,4
1299,1318,0
1300,1319,10
1301,1320,0
1302,1321,3
1303,1323,205
1304,1322,7
1305,1324,0
1306,1325,5
1307,1326,0
1308,1327,1
1309,1328,25
1310,1330,3
1311,1329,0
1312,1331,0
1313,1333,0
1314,1332,1
1315,1335,157
1316,1336,3
1317,1337,4
1318,1338,3
1319,1339,2
1320,1340,2
1321,1341,5
1322,1342,3
1323,1343,2
1324,1344,2
1325,1345,0
1326,1346,4
1327,1347,12
1328,1348,1
1329,1349,7
1330,1350,0
1331,1351,0
1332,1352,13
1333,1353,8
1334,1354,0
1335,1355,182
1336,1356,1
1337,1357,0
1338,1358,2
1339,1359,5
1340,1360,7
1341,1361,0
1342,1362,0
1343,1363,39
1344,1364,0
1345,1365,10
1346,1366,7
1347,1367,32
1348,1368,0
1349,1369,63
1350,1370,1
1351,1371,8
1352,1374,32
1353,1372,1
1354,1373,5
1355,1375,0
1356,1376,0
1357,1377,58
1358,1378,11
1359,1379,0
1360,1380,4
1361,1384,0
1362,1381,34
1363,1382,4
1364,1383,0
1365,1385,9
1366,1386,0
1367,1387,4
1368,1388,3
1369,1389,11
1370,1390,0
1371,1391,13
1372,1392,36
1373,1393,8
1374,1394,0
1375,1395,2
1376,1396,3
1377,1397,0
1378,1399,4
1379,1398,0
1380,1400,3
1381,1401,3
1382,1402,1
1383,1403,13
1384,1404,9
1385,1405,2
1386,1406,0
1387,1407,27
1388,1408,5
1389,1409,31
1390,1410,7
1391,1411,2
1392,1412,1
1393,1413,2
1394,1414,2
1395,1415,1
1396,1416,7
1397,1417,0
1398,1418,0
1399,1422,6
1400,1419,5
1401,1420,24
1402,1421,2
1403,1423,0
1404,1424,1
1405,1425,0
1406,1426,2
1407,1427,5
1408,1429,0
1409,1428,1
1410,1430,3
1411,1432,9
1412,1431,17
1413,1433,2
1414,1434,48
1415,1435,15
1416,1436,3
1417,1437,6
1418,1438,2
1419,1439,2
1420,1441,1
1421,1440,1
1422,1442,0
1423,1444,0
1424,1443,36
1425,1445,2
1426,1446,12
1427,1447,14
1428,1448,1
1429,1449,8
1430,1451,3
1431,1450,1
1432,1452,2
1433,1454,7
1434,1453,6
1435,1455,3
1436,1456,21
1437,1457,0
1438,1458,50
1439,1459,0
1440,1460,0
1441,1461,7
1442,1462,56
1443,1463,34
1444,1464,1
1445,1465,0
1446,1466,57
1447,1467,0
1448,1468,14
1449,1469,16
1450,1470,0
1451,1471,10
1452,1472,0
1453,1473,3
1454,1475,22
1455,1474,0
1456,1476,0
1457,1478,1
1458,1477,0
1459,1479,5
1460,1480,12
1461,1481,0
1462,1482,0
1463,1483,0
1464,1484,7
1465,1485,3
1466,1486,6
1467,1487,2
1468,1488,1
1469,1489,0
1470,1490,6
1471,1491,0
1472,1492,0
1473,1493,3
1474,1494,0
1475,1495,53
1476,1496,25
1477,1498,0
1478,1497,107
1479,1499,50
1480,1500,1
1481,1501,6
1482,1502,10
1483,1504,8
1484,1503,1
1485,1505,4
1486,1506,38
1487,1507,8
1488,1508,6
1489,1509,9
1490,1510,4
1491,1511,6
1492,1512,52
1493,1513,9
1494,1514,33
1495,1515,3
1496,1516,49
1497,1517,10
1498,1518,36
1499,1519,28
1500,1520,22
1501,1521,66
1502,1522,56
1503,1523,23
1504,1524,23
1505,1526,18
1506,1527,20
1507,1528,76
1508,1529,171
1509,1530,17
1510,1531,18
1511,1532,24
1512,1533,145
1513,1534,11
1514,1535,6
1515,1536,73
1516,1537,41
1517,1538,89
1518,1539,36
1519,1540,113
1520,1541,0
1521,1542,54
1522,1543,16
1523,1544,38
1524,1545,7
1525,1546,28
1526,1547,0
1527,1548,12
1528,1549,86
1529,1550,43
1530,1551,123
1531,1552,13
1532,1553,28
1533,1554,50
1534,1556,43
1535,1557,49
1536,1558,73
1537,1559,147
1538,1560,60
1539,1561,18
1540,1563,35
1541,1562,87
1542,1564,107
1543,1565,43
1544,1566,72
1545,1567,56
1546,1568,45
1547,1569,21
1548,1570,1
1549,1571,22
1550,1572,31
1551,1573,21
1552,1574,52
1553,1576,56
1554,1577,7
1555,1575,15
1556,1578,79
1557,1580,26
1558,1579,2
1559,1581,9
1560,1582,3
1561,1583,13
1562,1584,25
1563,1585,139
1564,1586,5
1565,1587,98
1566,1588,5
1567,1589,54
1568,1590,420
1569,1593,84
1570,1595,1
1571,1594,67
1572,1596,2
1573,1597,1
1574,1598,65
1575,1599,31
1576,1600,0
1577,1601,155
1578,1602,72
1579,1603,79
1580,1604,50
1581,1605,15
1582,1606,115
1583,1607,0
1584,1608,0
1585,1609,0
1586,1611,55
1587,1610,93
1588,1612,46
1589,1613,1
1590,1614,0
1591,1615,36
1592,1616,45
1593,1617,12
1594,1618,80
1595,1619,0
1596,1620,14
1597,1621,191
1598,1622,69
1599,1623,0
1600,1624,103
1601,1625,45
1602,1626,15
1603,1627,443
1604,1628,111
1605,1629,0
1606,1630,119
1607,1631,68
1608,1633,26
1609,1634,65
1610,1635,137
1611,1636,151
1612,1637,28
1613,1639,3
1614,1640,0
1615,1641,0
1616,1642,163
1617,1643,0
1618,1644,109
1619,1645,99
1620,1646,54
1621,1647,1
1622,1648,306
1623,1649,4
1624,1650,128
1625,1651,4
1626,1652,15
1627,1653,49
1628,1654,51
1629,1655,41
1630,1656,20
1631,1657,40
1632,1659,47
1633,1661,49
1634,1663,4
1635,1664,19
1636,1665,99
1637,1666,35
1638,1667,2
1639,1668,1
1640,1669,12
1641,1670,71
1642,1671,36
1643,1672,0
1644,1673,2
1645,1674,44
1646,1675,19
1647,1676,36
1648,1677,49
1649,1678,66
1650,1679,36
1651,1680,0
1652,1681,35
1653,1682,21
1654,1683,56
1655,1684,11
1656,1685,42
1657,1686,14
1658,1687,19
1659,1688,6
1660,1689,43
1661,1690,25
1662,1691,2
