gene_ID,ndimage_ID,PCA01 (69.86),PCA02 (12.61),PCA03 (7.09),PCA04 (3.86),PCA05 (2.12)
85,1168,0.07106587,-0.1582808,0.14695117,-0.13915871,0.0496043
85,2279,0.5969252,0.31726694,-0.12184954,-0.49346906,0.14001837
85,985,0.50699794,-0.30565768,-0.19784924,-0.05079572,-0.014897497
85,852,0.57124215,-0.45466074,-0.13031885,0.03995222,0.040596984
85,574,0.36461753,0.21146555,0.40894583,-0.036340088,0.09941374
85,1131,0.12077681,-0.161719,0.073365495,-0.13920684,0.0693224
85,2106,0.60582304,0.0010279352,-0.04449686,-0.2882342,-0.0934339
85,1995,-0.012884809,-0.1156762,0.28869116,-0.15951648,0.046263434
85,1545,0.08852808,-0.12825848,0.24282874,-0.15940848,0.045728005
85,582,0.7491194,0.8741833,-0.005196027,-0.33636743,0.009237857
85,713,0.0064816326,0.23873448,0.58533764,-0.057864018,-0.103884436
85,1543,0.44457763,-0.24932621,-0.1618337,-0.09750346,0.044022862
85,711,-0.0009499215,0.2679202,0.60242677,-0.014639337,-0.123426564
85,632,0.5645449,-0.02847835,-0.22900474,-0.28967512,0.033640172
85,1098,0.07140661,0.059865683,0.4156539,-0.19936773,-0.025829135
85,1272,0.093711756,-0.1363096,0.13365747,-0.1602213,0.052271623
85,2312,0.061304245,-0.090997465,0.185541,-0.19349277,0.08002741
85,1780,-0.013981294,-0.16632187,0.17959249,-0.12001965,0.07644429
85,2096,0.20640114,0.06382259,0.2011746,-0.2974317,0.055869605
85,293,0.20779385,0.8365615,0.35220757,0.21733509,0.09471283
85,993,0.118556835,0.49793923,0.49101824,-0.14590572,0.22813487
85,1239,-0.06842639,-0.17731978,0.18333948,-0.098709665,0.08349465
85,583,0.17850134,0.46147546,0.43808863,-0.18703681,0.10007413
85,1969,0.43162036,0.07878258,-0.0893248,-0.33916202,0.049681846
85,1048,0.21015818,0.7703188,0.39276537,0.17192917,0.3401762
85,1537,0.56917256,0.13868232,-0.29597,-0.4187638,0.30276245
85,626,0.057504874,0.2516329,0.5817328,0.03327679,-0.12291707
85,1275,0.1630201,-0.24126741,-0.12057858,-0.024227818,0.06683548
85,951,0.0073755304,0.03716154,0.43181342,-0.2008203,0.04346633
85,615,0.3468325,0.15852953,-0.019186573,-0.38130817,0.20470166
85,314,0.34694144,0.83139604,0.28790793,-0.0013763288,0.21313152
85,407,0.13923077,-0.16625002,0.06803681,-0.1396405,0.15047257
85,1990,0.19553398,-0.29922357,-0.07496408,0.0023473224,0.05893862
85,581,0.3904052,0.13183887,0.124363735,-0.33449304,0.10069789
85,2369,0.48174116,0.16233665,-0.07616783,-0.40527883,0.080676734
85,997,0.4649155,0.30405653,-0.10656303,-0.502539,0.30841833
85,747,0.48865688,-0.17205563,-0.17370278,-0.170728,-0.00041834742
85,199,0.008891437,-0.18416554,0.062030997,-0.08813402,0.07807845
85,1367,0.19754042,0.22718379,0.49855435,0.059112165,-0.15033962
85,2253,0.35773906,0.36276427,0.21438754,-0.36065033,0.048407096
85,1902,0.57317114,-0.032268953,0.2329469,-0.059380863,-0.12917545
85,1452,0.029413749,-0.15581599,0.20062613,-0.13739666,0.06695196
85,1285,0.047846314,0.0993065,0.4441645,-0.20348318,0.04585897
85,1119,0.049552273,-0.23660785,-0.037625223,-0.016754141,0.06888005
85,261,0.11112268,0.7324915,0.44725654,0.19566363,0.16198395
85,2144,0.85515964,0.65276074,-0.1053598,-0.48012885,-0.044833243
85,1256,0.12265165,0.17711815,0.4018269,-0.24235818,0.086777285
85,401,0.5378522,0.29364887,0.07340468,-0.38813454,0.024589436
85,216,0.96188194,-0.13460556,-0.41473722,-0.2593306,-0.02633931
85,745,0.19572441,0.76617646,0.41860285,-0.10426369,0.46038866
85,1006,0.06828424,-0.041473158,0.28973353,-0.2108086,0.027818585
85,716,-0.030772343,-0.071506925,0.36967245,-0.17338216,0.029853966
85,1315,0.053918216,0.41779166,0.5655122,0.08215507,-0.0959995
85,670,0.17646644,0.103858806,0.32571706,-0.24531469,0.08734443
85,2006,0.62634593,0.48495445,0.1174759,-0.34309503,-0.0822273
85,972,0.10729805,-0.23129722,-0.04748618,-0.040489785,0.05891358
85,2107,0.0062780175,-0.11373957,0.20639284,-0.16884094,0.08145743
85,2573,0.053840574,-0.23466964,0.1620109,-0.07406854,0.110304326
85,2431,0.015761431,0.048795342,0.4568267,-0.18445946,-0.02196337
85,1680,0.52909935,0.8114892,0.124147736,-0.3247852,0.20155
85,691,0.81786984,-0.10196306,-0.32574725,-0.25765362,-0.064175285
