,tSNE01,tSNE02,gene_ID,ndimage_ID
59,2.4555209,-0.2061947,85,1027
60,0.83044684,1.3479722,85,1303
61,1.8344011,-1.3900932,85,750
62,1.5187575,-1.4040424,85,662
63,2.4435146,0.6122228,85,1802
64,0.843254,-1.2223033,85,931
65,0.5055794,1.0686502,85,512
66,0.30293465,-1.5007645,85,2119
67,1.4342334,-1.36755,85,2323
68,1.11453,-1.6762004,85,1155
69,2.0767677,1.4210789,85,1667
70,2.2130878,-0.84202474,85,516
71,1.037792,-1.7136929,85,2135
72,1.9556019,-1.1466358,85,256
73,0.5373153,-1.5597241,85,1890
74,0.49126193,1.149271,85,1643
75,2.3301477,0.8929861,85,550
76,2.1398818,-0.8467366,85,1031
77,1.6410879,-1.5473881,85,1624
78,2.3979852,0.83250767,85,1970
79,2.0570893,-1.1675996,85,743
80,1.6874095,1.8710849,85,1475
81,1.7642751,-1.3797438,85,2433
82,2.2677464,-0.90667474,85,1682
83,0.73458284,-1.1599972,85,1225
84,2.4357803,-0.09112506,85,1800
85,1.7285804,-0.4964792,85,1998
86,2.3361144,-0.5413422,85,1480
87,1.2937214,-1.6425703,85,326
88,1.9015411,-0.24230528,85,1245
89,0.39158294,0.31852645,85,1237
90,1.1308075,-1.690898,85,2150
91,2.099702,-1.1168364,85,845
92,1.8666257,-0.6202143,85,800
93,1.848899,-1.0436788,85,1777
94,1.6517571,-0.9668693,85,1214
95,1.1905527,-1.7045457,85,482
96,0.4715003,0.17932975,85,1714
97,2.0453267,-1.1959945,85,503
98,0.7273866,-1.611157,85,560
99,1.4916148,-1.2422897,85,811
100,1.439441,-1.6560928,85,2226
101,1.8200715,1.8067886,85,1611
102,2.0932903,1.3780822,85,2265
103,1.1895823,-0.73107105,85,665
104,2.4660785,-0.01319814,85,2182
105,2.4034128,0.5046563,85,971
106,1.7007005,-1.3115829,85,2275
107,1.4489298,1.8985412,85,1728
108,1.8904479,-1.0849229,85,511
109,1.5060054,-1.2221961,85,1630
110,2.0361059,-0.20941152,85,715
111,0.16488992,-1.261566,85,1425
112,1.9846011,-0.27875045,85,1254
113,1.9500788,-0.28361866,85,490
114,2.2808056,-0.35007042,85,1493
115,1.1315819,0.72959214,85,1113
116,2.2906337,-0.37857166,85,1129
117,2.1634643,0.799363,85,1353
118,1.574228,-1.493585,85,306
119,0.16431509,0.45760193,85,938
120,1.2002581,-1.7126657,85,681
121,2.0884416,-0.7459982,85,272
122,1.4256268,-1.0587652,85,1267
123,2.414351,-0.4797064,85,947
124,1.3949131,-1.0523275,85,1305
125,2.2734945,-0.82849216,85,2036
126,0.42552358,-0.108719796,85,502
127,0.53433806,1.3827542,85,1655
128,1.7936475,-1.1051096,85,1576
129,1.7575504,1.7768819,85,706
130,1.6699206,-1.2929304,85,946
131,2.1738553,-1.0320457,85,1578
132,2.312296,0.7997645,85,661
133,1.4475263,-1.4000573,85,1976
134,2.1910625,-0.9876019,85,224
135,1.2070999,-1.6642969,85,2360
136,2.0064778,1.6232421,85,1625
137,2.0361896,-1.0367843,85,2438
138,0.6247647,1.5724268,85,1349
139,1.322797,-1.6369393,85,1258
140,1.9105418,-0.79208314,85,978
141,2.2539048,-0.9126893,85,1133
142,1.26892,-0.04114298,85,1403
143,1.955775,1.5363495,85,398
144,1.5673208,-1.4838617,85,344
145,1.409682,-1.6292636,85,1150
146,1.4435197,-0.8181576,85,1090
147,1.3534793,-1.6685499,85,1038
148,1.6423664,-1.302531,85,498
149,2.1482143,-0.26397023,85,1264
150,1.6673439,-1.2939273,85,1495
151,1.2833074,-1.4459643,85,1736
152,1.6205834,-1.462745,85,1497
153,2.4266717,0.6476094,85,2050
154,2.0031788,-0.7492711,85,475
155,2.044716,-0.985905,85,1140
156,2.2867548,-0.62706286,85,1731
157,2.2002425,-0.49363062,85,639
158,2.2887423,-0.7795714,85,2011
159,2.3389707,-0.4773658,85,1168
160,1.6155651,-1.5675802,85,2279
161,2.154073,-1.0546474,85,985
162,1.8113136,-1.3029455,85,852
163,2.0055616,-0.43012294,85,574
164,2.1381488,-0.4631128,85,1131
165,2.167223,-0.90260977,85,2106
166,2.2937944,0.97071314,85,1995
167,2.2094045,-0.9709837,85,1545
168,1.421618,-1.0031393,85,582
169,2.2494338,1.1764988,85,713
170,0.7508716,-0.63456875,85,1543
171,1.493874,1.9407187,85,711
172,1.2784944,-1.6644051,85,632
173,0.5264654,0.005425857,85,1098
174,2.408588,0.18305291,85,1272
175,2.38533,-0.4919879,85,2312
176,2.1074955,0.56606734,85,1780
177,2.1790245,-0.88002443,85,2096
178,1.4742675,1.7752608,85,293
179,1.5624352,-0.9361129,85,993
180,2.2601428,-0.4998715,85,1239
181,1.6005383,-1.4229496,85,583
182,2.0356472,-1.2063183,85,1969
183,1.9566343,-0.08296712,85,1048
184,0.48535058,-1.3420455,85,1537
185,1.0153061,1.2249126,85,626
186,2.4340541,-0.0826149,85,1275
187,1.5251225,-0.41923696,85,951
188,1.2654055,-1.7015737,85,615
189,2.4489477,-0.27643302,85,314
190,2.1829684,-0.8133098,85,407
191,2.317517,-0.55643725,85,1990
192,1.4637251,-1.2471892,85,581
193,1.8740699,-1.3339195,85,2369
194,2.0617678,-1.1596974,85,997
195,1.6221569,-1.219061,85,747
196,2.0538871,-1.1974844,85,199
197,0.8676299,1.8223193,85,1367
198,2.0241866,-0.3442003,85,2253
199,-0.40921187,0.017157743,85,1902
200,2.3295832,0.94354236,85,1452
201,2.0930483,0.39205682,85,1285
202,2.4525125,0.315789,85,1119
203,1.2386811,-0.8751214,85,261
204,1.3482367,-1.643037,85,2144
205,1.399881,-1.2692268,85,1256
206,1.2938359,-1.4873085,85,401
207,0.7964264,-1.6285337,85,216
208,1.8064418,-0.5902088,85,745
209,2.4378943,-0.038858287,85,1006
210,1.850315,1.7271601,85,716
211,0.48691314,1.3591772,85,1315
212,2.4191544,-0.16469473,85,670
213,1.5070479,-1.2975065,85,2006
214,1.6005158,-1.281113,85,972
215,2.4265618,0.43513533,85,2107
216,2.3890185,-0.5616118,85,2573
217,2.3090608,0.9840789,85,2431
218,0.4741848,0.005428784,85,1680
219,1.2990971,-1.6602709,85,691
220,1.0426091,1.9635098,85,1196
221,0.76124614,-1.656492,85,439
222,2.3768127,-0.6256245,85,1788
223,1.8501265,-1.2957108,85,1209
224,2.2469125,-0.6673148,85,649
225,2.3861265,0.8344419,85,779
226,0.79427236,-1.6056988,85,1646
227,1.6957793,-1.2331723,85,271
228,2.198087,-0.98542833,85,1511
229,2.333678,0.82177675,85,2097
230,1.8003019,-1.3867923,85,2058
231,2.0482984,1.4329827,85,580
232,1.3553634,-1.2267672,85,646
233,2.3679895,-0.49111906,85,2021
234,1.9787581,-0.51351905,85,653
235,0.0509282,-1.3050672,85,759
236,1.53562,-1.4598749,85,1878
237,1.7997609,-0.46433046,85,882
238,1.8791285,-1.1843268,85,480
239,2.3090448,0.34311324,85,666
240,1.9751532,-1.048839,85,1446
241,2.0014067,1.5446748,85,1732
242,0.43410084,1.0112492,85,1613
243,1.6437929,-1.5508951,85,2205
244,0.86331886,-1.7072455,85,2403
