,PCA01 (39.04),PCA02 (25.32),PCA03 (9.55),PCA04 (6.39),PCA05 (3.89),PCA06 (3.42),PCA07 (2.49),PCA08 (1.80),PCA09 (1.30),PCA10 (1.20),PCA11 (0.84),PCA12 (0.75),gene_ID,ndimage_ID
35,-1.2184578,-0.058208432,-0.040174462,-0.13131149,0.057599258,-0.032762405,-0.09071771,-0.08154431,0.047568392,0.051058155,0.032885343,0.04918211,85,227
36,-1.1740326,-0.22557023,-0.059433572,0.027427614,0.14886944,0.028798174,-0.23945235,-0.16103871,0.040190008,0.0966094,0.13408451,0.082839005,85,1021
37,-0.8001668,-0.34923595,-0.36754128,-0.12409518,0.4495122,0.04228323,0.04613897,-0.37292776,0.10141563,0.041588746,-0.07124218,0.24187997,85,1434
38,-1.2189841,-0.1982487,-0.08319584,0.010277857,0.20999654,0.027464597,-0.26998094,-0.23789266,0.086226344,0.14058274,0.17694812,0.15031718,85,671
39,-0.92402685,-0.6558274,-0.15586376,0.3500014,0.36269403,0.104891166,-0.42588636,-0.27219036,0.07277715,0.1477619,0.21944109,0.10523507,85,1796
40,-1.1034518,-0.3192629,-0.031644214,0.10313076,0.11575688,0.051225554,-0.27125156,-0.12669502,0.0033124995,0.08241039,0.14651455,0.056411035,85,1859
41,-1.0435145,-0.3762242,-0.14506306,0.10415607,0.27373487,0.02527035,-0.2476752,-0.21421312,0.09967035,0.11827269,0.11756128,0.094897985,85,387
42,-1.0573872,-0.42277828,-0.09627573,0.1783203,0.23263437,0.054511335,-0.32092196,-0.18950525,0.058440734,0.11760624,0.16544949,0.07229213,85,1827
43,-0.94224775,-0.5727688,-0.08595227,0.28147668,0.24001403,0.10359966,-0.3668221,-0.2055638,0.016661033,0.114570566,0.18916836,0.088804804,85,2010
44,-1.3180261,0.06613055,0.019030975,-0.19533063,-0.039472286,-0.05160971,-0.077911876,-0.015385489,0.0211542,0.03907626,0.03727313,0.0067517296,85,1146
45,0.12132724,-0.12753913,-1.0607139,-0.585265,0.6785255,0.31680724,0.36070135,-0.49288082,-0.18932539,-0.2614078,-0.08254593,0.224787,85,1722
46,-1.0991143,-0.44114587,-0.08934708,0.23111999,0.25261584,0.084350005,-0.41971996,-0.21692733,0.04198499,0.1454954,0.253578,0.07159866,85,2037
47,-1.3369482,0.15566036,0.011101657,-0.29716435,-0.054619186,-0.07581688,0.019930571,-0.021830697,0.035190653,0.020476148,-0.029135259,0.042529166,85,1880
48,-1.2881259,0.012880232,0.0074003427,-0.15729204,-0.010714338,-0.035701457,-0.10042454,-0.04003195,0.019891493,0.045278292,0.04865874,0.0237651,85,1587
49,-1.2111348,-0.16366594,-0.07705072,-0.03173269,0.17397064,0.016922018,-0.21272738,-0.20274822,0.06872017,0.11001427,0.13037442,0.12921004,85,2146
50,-1.3045689,-0.033464953,-0.022427967,-0.10711062,0.0805783,-0.01162376,-0.19356377,-0.14151755,0.05771405,0.10535917,0.13846476,0.09852409,85,1193
51,-1.2768961,0.21895453,-0.035320174,-0.40071413,-0.063922055,-0.064405344,0.12832774,-0.016376706,-0.0075722686,-0.041091684,-0.09143577,0.03980332,85,1159
52,-0.859833,-0.4555399,-0.30013096,0.03890864,0.4429602,0.07094641,-0.118849955,-0.3692473,0.09896897,0.084472045,0.028631786,0.22155732,85,1041
53,-1.13456,-0.40434417,-0.11257214,0.19349556,0.30501893,0.078104675,-0.41534272,-0.29013512,0.08726903,0.1793645,0.26519388,0.14810026,85,1751
54,-0.89826375,-0.8316803,-0.18634376,0.54822797,0.48561114,0.20831391,-0.66017795,-0.39605358,0.057325196,0.21147558,0.4060238,0.15645696,85,556
55,-0.6111,-0.8053748,-0.23236749,0.33767852,0.36158195,0.06551369,-0.2438562,-0.18808381,0.070093535,0.06190205,0.059212107,0.043205928,85,1619
56,-1.1049868,-0.23683572,0.031988513,0.027568035,-0.016666733,0.024175648,-0.17603661,-0.021276755,-0.038251393,0.028886836,0.07418441,0.003949702,85,1379
57,-1.300408,0.04836241,-0.022080012,-0.20704712,0.033855475,-0.041808426,-0.06723732,-0.09917773,0.052331455,0.05882829,0.035134938,0.08707103,85,1708
58,-1.2266989,-0.08028545,-0.07249171,-0.11642066,0.13146015,-0.0021376843,-0.13314377,-0.17193834,0.05703056,0.08030374,0.07777986,0.118533984,85,1065
59,-1.2967513,-0.0017037333,-0.021466501,-0.1491281,0.055804104,-0.025827957,-0.13165495,-0.11471662,0.052317068,0.07927989,0.08359934,0.08557924,85,1027
60,-1.1266202,0.3979102,-0.17196815,-0.4692827,-0.08949914,0.13909492,0.098910384,-0.031666387,-0.10536167,-0.2463511,0.0039204257,0.02925633,85,1303
61,-1.1977109,-0.28525847,-0.100364484,0.0940226,0.26953766,0.05278984,-0.3571423,-0.2848614,0.0977246,0.17510663,0.24237996,0.16819686,85,750
62,-0.9860547,-0.47255534,-0.14719827,0.18166555,0.2876337,0.061673217,-0.2903297,-0.21883745,0.06458371,0.10418926,0.13718809,0.08491121,85,662
63,-1.3408805,0.10222867,0.016705794,-0.22721544,-0.03489894,-0.05639841,-0.067408204,-0.035712905,0.032262474,0.047323953,0.041563597,0.034727186,85,1802
64,-0.69605947,-0.5890374,-0.28103298,0.13148034,0.37058064,0.0015378066,-0.1033446,-0.20418304,0.1255551,0.055877388,-0.015016115,0.07594956,85,931
65,-0.8626687,0.46621823,-0.39311922,-0.5399022,-0.007482435,0.2791747,0.11043841,-0.08832064,-0.1911976,-0.32319966,0.038802322,0.02988327,85,512
66,-0.29749888,-1.0419161,-0.53488064,0.36042005,0.7413081,0.120682426,-0.18065947,-0.45874476,0.15538596,0.08140601,0.01758168,0.20280017,85,2119
67,-0.9271256,-0.4569271,-0.2818972,0.07794481,0.46523654,0.08604082,-0.20326808,-0.41353813,0.11202848,0.12713657,0.10133303,0.25582165,85,2323
68,-0.81725436,-0.76695555,-0.27887005,0.39883825,0.5496718,0.15876189,-0.43230206,-0.43996897,0.12239667,0.1683545,0.23673372,0.2208272,85,1155
69,-1.338247,0.17211136,0.023073897,-0.30808613,-0.08592295,-0.0867008,0.038317196,0.01716574,0.02669726,0.0060570254,-0.04748876,0.007971205,85,1667
70,-1.2052984,-0.17237976,-0.03928778,-0.0047074906,0.10535517,0.00941155,-0.22182496,-0.11836873,0.037629772,0.08672777,0.12563659,0.05012719,85,516
71,-0.73613185,-0.92454624,-0.25386637,0.56106025,0.5496721,0.22084637,-0.5648808,-0.44012082,0.0946842,0.16829625,0.3134559,0.21623427,85,2135
72,-1.1497798,-0.25986785,-0.08324756,0.046989307,0.18693358,0.031038359,-0.2491493,-0.18273667,0.055901196,0.103808165,0.13825007,0.09006976,85,256
73,-0.2936699,-1.0186054,-0.31912622,0.3396705,0.54014254,0.18376157,-0.1678516,-0.48413926,0.05618397,0.057470202,0.04046583,0.3493397,85,1890
74,-0.89832747,0.5595552,-0.38137183,-0.50436115,-0.059615117,0.38218743,0.05827079,-0.087972425,-0.18863864,-0.43115878,0.08346483,0.04436576,85,1643
75,-1.3299071,0.12502255,0.0030285465,-0.2687071,-0.029338876,-0.064622335,-0.011719713,-0.045246843,0.039221838,0.03377488,-0.0039699147,0.055477343,85,550
76,-1.1712085,-0.20349452,-0.035396557,0.013936874,0.09210493,-0.0003092273,-0.20883036,-0.08752295,0.039403636,0.075348064,0.10325015,0.02372428,85,1031
77,-1.1537039,-0.4074978,-0.10978164,0.21143776,0.31471932,0.08744704,-0.46042395,-0.3058421,0.08652089,0.19838125,0.31130245,0.15357454,85,1624
78,-1.3487415,0.12949185,0.021879008,-0.2528607,-0.05218944,-0.06459887,-0.041870456,-0.022440083,0.03030291,0.038212854,0.022735378,0.0302523,85,1970
79,-1.2018288,-0.23023,-0.07451534,0.044005457,0.19598378,0.035906374,-0.29044586,-0.21238618,0.06575136,0.13247044,0.18495923,0.11711148,85,743
80,-1.3769343,0.23887245,0.04873271,-0.35352662,-0.13650738,-0.09982911,0.063015826,0.050866492,0.014440714,-0.005773393,-0.05658632,-0.007742872,85,1475
81,-1.1409854,-0.31235504,-0.15204193,0.06867496,0.3342176,0.061156727,-0.2984991,-0.34688616,0.11393376,0.16498238,0.19169147,0.22891629,85,2433
82,-1.2764325,-0.10980214,-0.03399714,-0.034651536,0.11703819,0.014169991,-0.2607255,-0.16341853,0.050528143,0.119622394,0.18558234,0.09426201,85,1682
83,-0.6548099,-0.5472857,-0.25604963,0.10949034,0.2824969,-0.00010090388,-0.109578796,-0.12712657,0.07776207,0.017392755,0.01939261,0.017288359,85,1225
84,-1.2805991,-0.009966608,-0.018227391,-0.14480524,0.03953076,-0.030801259,-0.11767119,-0.08480535,0.043942735,0.064480945,0.064154096,0.054526273,85,1800
85,-1.0294021,-0.201206,-0.08530152,-0.075767465,0.08672448,0.04309734,-0.0529069,-0.11193327,-0.029260462,-0.015893407,-0.0037913173,0.07405407,85,1998
86,-1.2438681,-0.070573665,-0.061991375,-0.117188714,0.12435163,-0.009857274,-0.13676818,-0.16979997,0.06821696,0.08832882,0.07927253,0.12444716,85,1480
87,-0.95476985,-0.6042324,-0.21081445,0.2838419,0.4503805,0.12344693,-0.40929124,-0.39073837,0.09712555,0.17330879,0.23453908,0.20995921,85,326
88,-1.1030315,-0.09456229,-0.051814448,-0.14739951,0.015322114,0.014222166,-0.025714295,-0.049605213,-0.049416885,-0.021551663,-0.015429786,0.02536181,85,1245
89,-0.61371595,0.12924147,-0.555241,-0.47971153,0.2740373,0.2335032,0.12653305,-0.26796615,-0.18364449,-0.18645762,0.034878712,0.11834275,85,1237
90,-0.8377614,-0.7758093,-0.25673243,0.4062511,0.53124434,0.16370489,-0.4766545,-0.42938897,0.09027681,0.18139307,0.26707816,0.2092355,85,2150
91,-1.2057011,-0.21071734,-0.07261564,0.024156243,0.18593822,0.02877211,-0.27122885,-0.20509824,0.06770828,0.12656753,0.17239022,0.116757214,85,845
92,-1.1120135,-0.22946429,-0.018265666,0.011156936,0.047985096,0.0028153271,-0.15920548,-0.04967073,0.008187882,0.040988494,0.054728072,0.009626695,85,800
93,-1.0837963,-0.28382793,-0.07412693,0.043963365,0.13819861,0.017089998,-0.1919673,-0.11289266,0.034059033,0.0622671,0.07982387,0.035900075,85,1777
94,-1.0229324,-0.28661144,-0.14422694,-0.017961385,0.21739879,0.032567427,-0.1101584,-0.20120582,0.042313512,0.049793687,0.02502525,0.121635504,85,1214
95,-0.91790843,-0.7350832,-0.18464792,0.42286193,0.4551982,0.16059746,-0.52868825,-0.38482693,0.07224147,0.19590011,0.31090766,0.18476757,85,482
96,-0.5886943,0.02581485,-0.25293553,-0.31518847,-0.043788377,-0.0022985109,0.126407,0.055929366,-0.017987799,-0.22571185,-0.020216633,-0.025302952,85,1714
97,-1.2204281,-0.23349892,-0.056827907,0.0679376,0.1794043,0.03736436,-0.32880837,-0.19482745,0.060158517,0.14048643,0.21726403,0.0950266,85,503
