gene_ID,ndimage_ID,PCA01 (50.50),PCA02 (25.57),PCA03 (9.09),PCA04 (5.88),PCA05 (2.83)
85,2226,-0.05516753,-0.013265223,0.18338247,-0.23117483,-0.06481584
85,1611,-0.65214354,-0.010283881,-0.0627538,-0.1401817,0.09151588
85,2265,-0.65667003,0.67402965,-0.3334167,0.37150618,-0.20902441
85,665,-0.44431874,1.000724,-0.0037568517,0.3071955,0.102232136
85,2182,-0.41090658,0.21395238,-0.14011756,-0.258681,0.018944848
85,971,-0.5892936,-0.050540544,-0.013709667,-0.11881538,0.067744546
85,2275,-0.4804947,0.527442,-0.30433726,-0.118139796,-0.08983954
85,1728,-0.68620956,-0.04266249,0.032865513,-0.09944228,0.059630036
85,511,-0.4476347,0.95246506,0.012185844,0.44053915,0.22109397
85,1630,-0.015955573,0.70969766,0.20876151,-0.48653826,0.2689958
85,715,-0.53618735,0.654773,-0.2937077,0.013284691,0.058861565
85,1425,-0.1460971,0.48151872,0.18118836,-0.43690073,0.24267448
85,1254,-0.5059208,0.3240199,-0.2190813,-0.22715835,0.13180092
85,490,-0.29078168,0.552087,-0.09626942,-0.30835193,0.08547332
85,1493,-0.5183637,0.04621728,-0.05301827,-0.19551346,0.060324512
85,1113,-0.5526424,0.7703083,-0.22466855,0.30071992,-0.16889405
85,1129,-0.48300618,0.11955139,-0.14425565,-0.22050744,0.036154594
85,1353,-0.54671174,-0.044363372,0.06918807,-0.12464649,0.025916535
85,306,-0.17377022,0.9029381,0.055108104,-0.3310356,0.22508799
85,938,-0.004568591,0.6110222,-0.031910777,0.08382541,-0.2480108
85,681,-0.23063831,0.5617302,0.09964191,-0.40585005,0.3185578
85,272,-0.59079933,0.6507421,-0.3448473,0.11340525,-0.09304931
85,1267,0.008350269,0.12398681,-0.047818027,-0.23546475,-0.12009223
85,947,-0.1976241,-0.067307785,0.19199854,-0.16677508,-0.056190003
85,1305,-0.4646857,0.5462172,-0.20732604,-0.18567866,0.19978714
85,2036,-0.44802856,0.1995388,-0.0821813,-0.27275735,0.085536085
85,502,-0.41539973,1.1758618,0.1785016,0.3686239,0.37985075
85,1655,-0.6342777,0.77888256,-0.10533905,0.6092854,-0.14276575
85,1576,-0.3220557,0.21077281,0.04003594,-0.30909678,0.074210234
85,706,-0.63389546,0.5150009,-0.43714544,0.07863269,-0.16545467
85,946,-0.4956691,-0.033660524,0.018437117,-0.14598124,0.028528009
85,1578,-0.5485647,-0.19775547,0.25318226,0.057619493,-0.113174185
85,661,-0.53678584,0.2528483,-0.2892788,-0.20066914,0.012555682
85,1976,0.019248636,0.3368071,0.20594119,-0.4252677,0.006163001
85,224,-0.6468178,0.6524126,-0.36638665,0.2689712,-0.18235663
85,2360,0.18052246,0.17001607,0.42343965,-0.3731306,-0.05480654
85,1625,-0.6137161,0.23976,-0.35977054,-0.16294436,0.015887562
85,2438,-0.095329344,0.3423136,-0.054893922,-0.33511493,-0.019093426
85,1349,-0.5870482,0.6348201,-0.3494393,0.22295047,-0.22791952
85,1258,0.15535834,-0.03721634,0.3373327,-0.24022083,-0.13533153
85,978,-0.50380063,0.5323132,-0.24435595,-0.15318853,0.19693081
85,1133,-0.43558505,-0.06966269,0.10158719,-0.1251182,-0.0149628995
85,1403,-0.4541561,0.19703332,-0.22876579,-0.21071757,-0.008349677
85,398,-0.6494933,0.6004098,-0.4057864,0.22003457,-0.20714761
85,344,-0.16357706,0.98554444,0.1394512,-0.36366746,0.39864022
85,1150,-0.1322669,0.21463169,0.07487557,-0.32180506,0.0008005735
85,1090,-0.58870363,0.85447717,-0.17884654,0.3631433,0.0615266
85,1038,-0.07425074,0.47038692,0.24191031,-0.4676383,0.1905543
85,498,-0.13661233,-0.21040295,0.21094748,-0.067993306,-0.1012725
85,1264,-0.33935428,0.1291616,0.021168245,-0.26333398,0.05639351
85,1495,-0.4626841,0.52786463,-0.22455505,-0.20497929,0.105465434
85,1736,0.06459218,0.8849482,0.13513571,-0.42163014,0.050016347
85,1497,-0.016746677,0.05813314,0.19990104,-0.2776668,-0.10238234
85,2050,-0.5747751,0.2992489,-0.34746546,-0.16344395,0.0010874819
85,475,-0.11909693,0.8934941,-0.0035875775,-0.2496873,0.052220825
85,1140,-0.39613852,-0.016606843,0.19374786,-0.16165411,-0.032483008
85,1731,-0.4450895,0.3390102,-0.35190523,-0.06874062,-0.008468105
85,639,-0.66904014,0.70113504,-0.30320215,0.42682695,-0.20392795
85,2011,-0.50965136,0.12714685,-0.137509,-0.226292,0.059545398
85,1168,-0.4663236,0.11871495,-0.122089595,-0.22758709,0.035980113
85,2279,-0.038726438,0.69438595,0.15726534,-0.47799498,0.21104933
85,985,0.04419777,0.024799464,0.19956131,-0.27031043,-0.057102572
85,852,0.14589025,-0.13908146,0.13510549,-0.1670288,-0.11686153
85,574,-0.2538762,0.48928943,-0.22147955,0.1681455,-0.087472856
85,1131,-0.40975103,0.109803095,-0.04550659,-0.23969333,0.038769387
85,2106,0.04882682,0.43455142,0.032614764,-0.40537083,0.018510802
85,1995,-0.57252294,0.16366519,-0.26000902,-0.19893426,0.047925886
85,1545,-0.45570529,0.16726658,-0.20854945,-0.2061621,0.01275502
85,582,0.0008474836,1.231014,0.19663551,-0.11218098,0.21993676
85,713,-0.6313463,0.54546434,-0.42437074,0.10592143,-0.17225598
85,1543,-0.037859246,0.061048266,0.1791025,-0.27267644,-0.035270274
85,711,-0.6427286,0.567789,-0.42219904,0.16080779,-0.19357562
85,632,0.02668305,0.34009874,0.2369988,-0.43467742,0.049841046
