count,sum_10_-_GLYMA_17G195900,mean_10_-_GLYMA_17G195900,sum_15_-_GLYMA_17G195900,mean_15_-_GLYMA_17G195900,sum_20_-_GLYMA_17G195900,mean_20_-_GLYMA_17G195900,sum_25_-_GLYMA_17G195900,mean_25_-_GLYMA_17G195900,sum_30_-_GLYMA_17G195900,mean_30_-_GLYMA_17G195900,sum_10_-_GLYMA_05G092200,mean_10_-_GLYMA_05G092200,sum_15_-_GLYMA_05G092200,mean_15_-_GLYMA_05G092200,sum_20_-_GLYMA_05G092200,mean_20_-_GLYMA_05G092200,sum_25_-_GLYMA_05G092200,mean_25_-_GLYMA_05G092200,sum_30_-_GLYMA_05G092200,mean_30_-_GLYMA_05G092200
7216,0.001464045927207557,2.0288884800548185e-07,0.0015828598320886136,2.1935418959099412e-07,0.001640196412492575,2.272999462988602e-07,0.0016756783231876,2.3221706252599778e-07,0.0017013582558669472,2.357758115114949e-07,4.920189634724131e-05,6.8184446157485185e-09,7.680866714753996e-05,1.0644216622441791e-08,0.00014044901130410488,1.9463554781610986e-08,0.0002442202504404987,3.384426973953696e-08,0.0003829198002360098,5.306538251607674e-08
6666,0.0014448548368043075,2.167499005106972e-07,0.0015007085059671045,2.2512878877394306e-07,0.0015331776615293636,2.2999964919432396e-07,0.0015606157739802226,2.3411577767480086e-07,0.0015852723989407099,2.3781464130523701e-07,5.731049112233093e-05,8.597433411690808e-09,5.930013481452735e-05,8.895909813160419e-09,9.211972212445083e-05,1.3819340252692894e-08,0.00016069485465299997,2.410663886183618e-08,0.00026574164206304715,3.9865232832740346e-08
5742,0.0013737448223687678,2.39245005637194e-07,0.0013400112964244287,2.3337013173535854e-07,0.0013404386524257215,2.3344455806787208e-07,0.0013555892504373641,2.3608311571531943e-07,0.0013759189638425603,2.3962364399905265e-07,5.500473492690733e-05,9.579368674139208e-09,4.867701964255643e-05,8.477363225802234e-09,6.098940354936016e-05,1.0621630712183936e-08,9.90148048077343e-05,1.7243957646766686e-08,0.00016750287461052152,2.917152117912252e-08
5324,0.0013418706974801429,2.520418289782387e-07,0.0012657405509610294,2.3774240250958478e-07,0.0012510041927589763,2.3497449150243732e-07,0.0012616272227656592,2.3696980142104793e-07,0.001281696226889738,2.4073933638049175e-07,4.8971983036337664e-05,9.198343921175368e-09,4.317717196262683e-05,8.10991208914854e-09,4.714989048341157e-05,8.85610264526889e-09,6.823169629315348e-05,1.2815870828916883e-08,0.00011420312867041516,2.145062521983756e-08
4950,0.0012022058119756905,2.4286986100519e-07,0.0011553783597811858,2.334097696527648e-07,0.0011469626374971456,2.317096237367971e-07,0.0011597202653887073,2.3428692230074894e-07,0.0011822132326107574,2.388309560829813e-07,3.176893624297545e-05,6.4179669177728185e-09,3.335546892926453e-05,6.738478571568591e-09,3.666261238086454e-05,7.406588359770614e-09,5.086455613546162e-05,1.0275667906153864e-08,8.396311148126166e-05,1.6962244743689225e-08
4070,0.0009062611136570224,2.2266857829410868e-07,0.0009191415835915708,2.2583331292176187e-07,0.0009278474388907753,2.279723437078072e-07,0.0009444493679171956,2.320514417486967e-07,0.0009668373395186079,2.3755217187189383e-07,1.3732755410029751e-05,3.3741413783856884e-09,2.0117301856209157e-05,4.942826008896599e-09,2.394576600912388e-05,5.88348059192233e-09,3.224807365146713e-05,7.923359619525093e-09,5.189529339613705e-05,1.2750686338117211e-08
3069,0.0006328622980029323,2.0621124079600272e-07,0.0006696554924251995,2.1819989978012366e-07,0.0006910028986259277,2.2515571802734693e-07,0.0007104764313216189,2.315009551390091e-07,0.0007308750442935888,2.3814761951566923e-07,6.124091902994309e-06,1.9954681990857965e-09,1.2795845627798567e-05,4.1693859979793315e-09,1.6571742569313233e-05,5.3997206156120016e-09,2.1512069181134298e-05,7.009471873944053e-09,3.256604709639431e-05,1.0611289376472567e-08
2167,0.00043046128997872347,1.986438809315752e-07,0.0004508848475142673,2.0806868828531025e-07,0.0004721177014912124,2.1786695961754148e-07,0.0004910316113797533,2.2659511369624058e-07,0.0005088837062036389,2.348332746671153e-07,1.4874654059288658e-06,6.864168924452541e-10,5.506172920070106e-06,2.5409196677757758e-09,8.694899919694192e-06,4.012413437791506e-09,1.1727282367501664e-05,5.4117592835725265e-09,1.7696233864033104e-05,8.166236208598572e-09
1430,0.00027895717026514436,1.9507494424135968e-07,0.0002823549548676224,1.9745101738994572e-07,0.0002980886472691154,2.0845359948889188e-07,0.00031423147920389845,2.1974229314957934e-07,0.0003289268130883135,2.3001875041140801e-07,8.040927141769486e-08,5.623025973265375e-11,1.1463385564658281e-06,8.016353541719078e-10,3.1685127611096593e-06,2.2157431895871744e-09,5.346789102688903e-06,3.739013358523708e-09,8.687981286797906e-06,6.075511389369165e-09
1100,0.00021679402855811895,1.9708548050738085e-07,0.0002149360944768337,1.9539644952439429e-07,0.00022567126545851223,2.0515569587137476e-07,0.00023835741137583573,2.166885557962143e-07,0.00025038081769227785,2.2761892517479805e-07,1.5808912181421644e-08,1.4371738346746949e-11,4.807136887663367e-07,4.370124443330333e-10,1.8702479373265797e-06,1.7002253975696178e-09,3.5729053926813404e-06,3.2480958115284914e-09,5.5866177625735725e-06,5.078743420521429e-09
726,0.00014657983375407577,2.0190059745740464e-07,0.00014216705411672272,1.9582238859052717e-07,0.00014666624137348974,2.02019616216928e-07,0.00015472651942083452,2.1312192757690704e-07,0.00016318612050097948,2.2477427066250618e-07,5.676181070925737e-10,7.818431227170436e-13,1.0131813281974553e-07,1.39556656776509e-10,7.810945006860905e-07,1.0758877419918602e-09,1.8951173749480353e-06,2.610354510947707e-09,3.0902595305892967e-06,4.256555827257985e-09
275,5.556452557975805e-05,2.0205282029002927e-07,5.445892169631967e-05,1.9803244253207153e-07,5.5096261044663806e-05,2.0035004016241383e-07,5.793116468948877e-05,2.1065878068905008e-07,6.122599355196384e-05,2.226399765525958e-07,7.546952826114272e-14,2.7443464822233716e-16,1.2466532541798045e-08,4.533284560653835e-11,1.983692645405909e-07,7.213427801476033e-10,6.046207251697347e-07,2.1986208187990354e-09,1.0644825819679896e-06,3.8708457526108715e-09
