,PCA01 (39.03),PCA02 (26.82),PCA03 (7.41),PCA04 (7.29),PCA05 (3.99),PCA06 (3.10),PCA07 (2.82),PCA08 (1.64),PCA09 (1.47),PCA10 (1.16),gene_ID,ndimage_ID
22,-1.8845953,0.012592599,-0.23114358,0.03558234,0.3093976,-0.10294181,0.30845663,-0.21169655,0.11988369,-0.09538536,85,2108
23,-1.4991031,-1.0561688,-0.5184581,1.1350577,1.3077444,0.028644636,0.6906595,-0.6531615,0.15623707,-0.23029676,85,1964
24,-1.0818074,-0.7614933,-0.67161244,0.9777596,0.98899174,0.09634906,0.2190366,-0.3384883,-0.11336145,-0.04752766,85,611
25,-2.0025437,0.38315037,-0.23689443,-0.32356933,0.06524737,-0.04104152,0.20316851,-0.1439621,0.053901087,-0.13119586,85,1641
26,-1.5973368,-0.6241859,-0.566101,0.69792676,1.0411154,0.1543435,0.49601057,-0.59149104,0.025551617,-0.24993217,85,2056
27,-1.8761551,-0.07061639,-0.31389078,0.15620771,0.4965079,-0.042436298,0.3811417,-0.34417316,0.1065365,-0.162931,85,598
28,-1.8613214,-0.20074205,-0.22534224,0.27207682,0.543943,-0.15648958,0.413921,-0.36393428,0.18134493,-0.10237561,85,813
29,-1.2959247,-0.787975,-0.3579208,0.65551627,0.67302555,0.010719803,0.24712893,-0.24003176,-0.019901546,-0.0042914655,85,1862
30,-1.8239437,-0.1457482,-0.37876463,0.23868573,0.5855935,-0.004515566,0.39974442,-0.37864318,0.10137243,-0.1736449,85,1060
31,-1.9358541,-0.014383292,-0.24763463,0.1185491,0.46005222,-0.13484134,0.39193735,-0.3487022,0.16947132,-0.116850115,85,1614
32,-0.2623385,-1.1076169,-0.7500062,0.6861292,0.38234815,0.28269216,-0.18265197,0.1563561,-0.30347505,0.25361687,85,797
33,-1.3880707,0.11393103,-0.9331529,-0.107970595,0.48589352,0.54758495,-0.16908675,-0.25619817,-0.3546568,-0.064530075,85,1394
34,-1.6960636,-0.0889668,-0.40184012,0.08515085,0.36092502,0.09856806,0.21418111,-0.1802978,-0.036446083,-0.1285817,85,954
35,-1.7447337,-0.13801622,-0.36834803,0.16018866,0.43560994,0.038252197,0.3151689,-0.24937455,0.037322327,-0.15518683,85,227
36,-1.7181726,-0.5274342,-0.3870167,0.6114963,0.8907502,-0.030817036,0.520722,-0.5200159,0.13858216,-0.18412639,85,1021
37,-0.86152303,-0.7281603,-1.1468695,0.5940739,0.85835576,0.70079947,0.05270243,-0.24911386,-0.35055387,-0.17195748,85,1434
38,-1.8540864,-0.3839931,-0.33491883,0.5330459,0.86166507,-0.12058685,0.58122367,-0.5529349,0.2193382,-0.18052551,85,671
39,-1.6666436,-1.0083994,-0.16862603,1.0886481,1.1580842,-0.36600113,0.6948211,-0.6193667,0.38954517,-0.024051482,85,1796
40,-1.6724505,-0.37647313,-0.3260488,0.3670788,0.6318108,-0.011777485,0.3331187,-0.3865175,0.06512817,-0.12826453,85,1859
41,-1.5486685,-0.76893044,-0.14624725,0.68692845,0.68007433,-0.22457536,0.44904882,-0.312314,0.20245057,-0.022783244,85,387
42,-1.5492102,-0.68725514,-0.13246587,0.58094144,0.5153317,-0.20358084,0.3847667,-0.16023387,0.17543954,-0.014246709,85,1827
43,-1.501757,-1.0254111,-0.40582725,1.0649626,1.2837427,-0.077154905,0.5840999,-0.7224726,0.18420546,-0.12992716,85,2010
44,-1.9754921,0.25526798,-0.15837401,-0.211931,0.08302893,-0.14690211,0.2209889,-0.112331584,0.122443646,-0.054598942,85,1146
45,0.8090403,-1.520188,-2.5273917,1.3889055,1.7637465,1.4335934,-0.52267927,-0.4744848,-0.8164132,0.19854893,85,1722
46,-1.7519656,-0.8342803,-0.14840733,0.94439495,1.0546371,-0.39778724,0.6789835,-0.5907244,0.41228077,-0.0063819746,85,2037
47,-1.9636657,0.37954473,-0.27849498,-0.33969417,0.051165603,0.027730392,0.1698313,-0.12031077,-0.0013475615,-0.15532936,85,1880
48,-1.8998913,0.16557375,-0.23829006,-0.14381495,0.17649105,-0.04181762,0.2067203,-0.16255103,0.04928901,-0.10603381,85,1587
49,-1.6869638,-0.30643523,-0.6013083,0.39579132,0.8416682,0.23030858,0.38906065,-0.5176509,-0.044753294,-0.2679976,85,2146
50,-1.9835902,-0.16585396,-0.29647428,0.36060548,0.79137397,-0.18073115,0.58453697,-0.6095762,0.27055007,-0.17698422,85,1193
51,-1.7850302,0.56906223,-0.47841793,-0.5704414,-0.09175521,0.2129925,-0.13227314,-0.0041081016,-0.1753162,-0.04651734,85,1159
52,-1.2844045,-0.69540995,-0.61808336,0.58917046,0.7722839,0.26268834,0.21341763,-0.3041638,-0.10820308,-0.11864548,85,1041
53,-1.8455524,-0.36921963,-0.22961086,0.47992215,0.7234647,-0.22089729,0.513093,-0.44365102,0.25483826,-0.08081644,85,1751
54,-1.4689271,-1.3556529,-0.37928697,1.5491222,1.6722137,-0.2943471,0.7600366,-0.8794958,0.33873788,-0.010701739,85,556
55,-1.1529247,-1.1846792,-0.35143292,0.9781769,0.7737672,-0.015664266,0.42982736,-0.18298607,0.079376966,-0.05696561,85,1619
56,-1.722038,-0.3602533,-0.16356611,0.32921526,0.5362975,-0.18048584,0.33212045,-0.353993,0.17027934,-0.053253792,85,1379
57,-1.9463016,0.13288662,-0.2760464,-0.048676815,0.3257596,-0.055533517,0.31436938,-0.2789159,0.09712394,-0.14676934,85,1708
58,-1.8705249,-0.040679023,-0.36881313,0.13586536,0.5178773,0.0114787,0.3789691,-0.36828518,0.08095564,-0.19418304,85,1065
59,-1.859798,-0.31207255,-0.42817026,0.47652933,0.91786045,-0.009331745,0.5579166,-0.6382079,0.14639358,-0.24573334,85,1027
60,-1.5019954,1.110603,-0.52903515,-0.4451068,-0.012721076,-0.101600364,-0.69938064,0.06353371,-0.51513046,0.46691892,85,1303
61,-1.7535117,-0.67278945,-0.3052793,0.79714626,1.0026913,-0.18466178,0.6545537,-0.56443006,0.2742536,-0.14257455,85,750
