,LLE01,LLE02,gene_ID,ndimage_ID
144,-0.010734657,-2.7089905e-05,85,344
145,-0.014118409,-0.0007261723,85,1150
146,-0.00398427,-0.001408916,85,1090
147,-0.013227557,-0.003002236,85,1038
148,-0.016926672,0.00728041,85,498
149,-0.00856216,-0.006918718,85,1264
150,-0.006619888,-0.0031984893,85,1495
151,-0.008024644,-0.004554794,85,1736
152,-0.011436386,0.0016890521,85,1497
153,-0.010161456,-0.00232375,85,2050
154,-0.0067933756,-0.0030626245,85,475
155,-0.011630781,0.0008326527,85,1140
156,-0.007040712,0.00073365466,85,1731
157,-0.0011793117,-0.0049437745,85,639
158,-0.010092499,-0.0033356391,85,2011
159,-0.011061874,0.00084293226,85,1168
160,-0.007835046,-0.008493469,85,2279
161,-0.009465123,-0.0053501595,85,985
162,-0.011893788,0.001235808,85,852
163,-0.0057448237,0.0002652423,85,574
164,0.0021046465,-0.008506691,85,1131
165,-0.013552505,0.0021551794,85,2106
166,-0.00546191,-0.0027880264,85,1995
167,-0.011398178,0.0005681985,85,1545
168,-0.010595869,0.0009642186,85,582
169,-0.005244051,-0.0062741227,85,713
170,0.015857637,-0.020578733,85,1543
171,-0.0031623344,-0.0076483157,85,711
172,-0.004026634,-0.004608955,85,632
173,0.00846779,-7.187487e-05,85,1098
174,-0.0053946786,-0.00879354,85,1272
175,-0.008315344,-0.0039541097,85,2312
176,-0.007870803,-0.004009695,85,1780
177,0.01589289,-0.010608591,85,2096
178,-0.002384728,-0.002255263,85,293
179,-0.009510513,-0.0132089285,85,993
180,-0.017408205,0.0047856155,85,1239
181,-0.0074760877,-0.0006338854,85,583
182,-0.009728939,-0.0019309147,85,1969
183,-0.0030724043,-0.0061939,85,1048
184,-0.0077662827,-0.007010082,85,1537
185,-0.005820944,-0.0013609445,85,626
186,-0.0010698249,-0.0017296224,85,1275
187,0.0009803264,-0.003139887,85,951
188,-0.0141435275,-0.000110060224,85,615
189,0.007012692,-0.008230086,85,314
190,-0.005101213,-0.0019550554,85,407
191,-0.012314927,5.9518923e-05,85,1990
192,-0.017727645,0.0054967576,85,581
193,-0.014622751,0.0033200386,85,2369
194,-0.0075355917,-0.0047362857,85,997
195,-0.010358276,0.0005429783,85,747
196,-0.016278436,0.004963419,85,199
197,0.022442248,-0.006447378,85,1367
198,-0.0020804107,-4.9663167e-06,85,2253
199,0.003627924,-0.0060900464,85,1902
200,-0.005163506,-0.006778214,85,1452
201,-0.0025643427,-0.00059338094,85,1285
202,-0.011972247,0.0005296706,85,1119
203,-0.003979531,0.0036217102,85,261
204,-0.014540771,-0.0038744118,85,2144
205,-0.007949926,-0.0016900949,85,1256
206,0.008226192,-0.0058657024,85,401
207,-0.084887035,0.058391757,85,216
208,0.0035581249,-0.0072312476,85,745
209,-0.010595215,-0.0008790604,85,1006
210,-0.004356018,-0.00926131,85,716
211,-0.0066336305,0.002128648,85,1315
212,-0.008299849,-0.0063799415,85,670
213,-0.013048342,-0.002935546,85,2006
214,-0.0015128452,0.00035838867,85,972
215,-0.0055452306,-0.004673476,85,2107
216,-0.0038463671,-0.001497353,85,2573
217,-0.008180841,0.000374544,85,2431
218,0.023705732,-0.0006950743,85,1680
219,0.008574607,-0.0131803565,85,691
220,-0.0070097097,0.00202297,85,1196
221,-0.014519389,0.0016296144,85,439
222,-0.0053180223,-0.010226623,85,1788
223,-0.0076034064,-0.0049671633,85,1209
224,-0.0095247375,-0.0010242462,85,649
225,-0.009506223,-0.00061175175,85,779
226,-0.015569029,-0.0045327754,85,1646
227,0.0041336548,-0.0023242242,85,271
228,-0.007899554,-0.0071450295,85,1511
229,-0.0048522446,-0.002453534,85,2097
230,-0.013764715,-0.00048283697,85,2058
231,-0.0041201576,-0.005392165,85,580
232,-0.009144378,-0.002847888,85,646
233,-0.0142664565,0.004727518,85,2021
234,-0.015228156,0.005382978,85,653
235,-0.013296274,-0.010623071,85,759
236,-0.015594662,0.00480112,85,1878
237,0.00033088383,-0.02900331,85,882
238,-0.0112309465,-0.0031503176,85,480
239,-0.008820784,-0.0013122929,85,666
240,-0.004714647,-0.00197362,85,1446
241,-0.0042774295,-0.0022765088,85,1732
242,0.024493136,0.00032791172,85,1613
243,-0.0067852647,-0.012808935,85,2205
244,0.029115997,-0.056978334,85,2403
245,-0.003448425,-0.0035402323,85,1651
246,-0.014242399,-0.0049828566,85,421
247,-0.008332723,-0.0024486922,85,494
248,-0.0122100795,-0.009187489,85,1276
249,-0.0056492216,-0.004220803,85,1799
250,-0.0077822953,-0.004313996,85,590
251,-0.0047111744,-0.006198888,85,1226
252,0.013746008,-0.00093334564,85,1740
253,-0.012549899,0.002861744,85,1169
254,0.003277036,-0.020229548,85,1913
255,-0.0068183937,-0.002228723,85,575
256,0.020063283,-0.011921089,85,1860
257,-0.0037629681,-0.0077701192,85,1061
258,-0.007930006,-0.0016672274,85,1756
259,-0.00575122,-0.011648358,85,820
260,-0.007579173,-0.0013303254,85,1517
261,-0.003018934,-0.01074365,85,1496
262,-0.012741726,0.01308244,85,2244
263,-0.009775426,0.00079359557,85,1925
264,-0.0078045437,-0.0036959471,85,2110
265,-0.009293814,-0.0028726647,85,1106
266,-0.004012171,-0.008839447,85,1711
267,0.0004040399,-0.004034052,85,2361
268,-0.0069617117,-0.006033152,85,545
269,-0.012385856,-0.001355852,85,1382
270,-0.004776442,-0.011474709,85,1784
271,-0.005775172,-0.007874069,85,1648
272,-0.010401814,2.2066924e-05,85,1954
273,-0.006274501,-0.004814449,85,1807
274,0.00094521866,-0.00022925565,85,1205
275,-0.028768837,0.013864604,85,1752
276,8.5291485e-06,-0.014235985,85,687
277,-0.0075733624,-0.0058873557,85,375
278,-0.013887398,0.0034241376,85,274
279,-0.0045377812,-0.00024959425,85,1828
280,-0.0103807,-0.00039029232,85,291
281,-0.049746137,0.026295375,85,629
282,-0.009049649,-0.0056009665,85,2444
283,0.010906527,-0.0077595245,85,276
284,0.008125786,-0.0018937273,85,808
285,-0.0057040113,-0.00046373525,85,1024
286,-0.014612411,-0.0042137946,85,1757
287,-0.0052730716,-0.0025104217,85,1268
288,-0.006752734,-0.0074496698,85,1485
289,-0.0035967291,-0.009035217,85,1334
290,-0.0106007205,0.0020999801,85,778
291,-0.01438029,-0.0024131231,85,428
292,-0.00615011,-0.0041901027,85,1156
293,-0.008510184,-0.003077856,85,824
294,-0.0071877795,-0.0047164094,85,1388
295,-0.010994534,-0.001679025,85,2319
296,-0.010657905,0.0005894796,85,592
297,-0.0074398294,-0.012642491,85,1269
298,-0.004936104,-0.0021413877,85,2136
299,-0.008419491,0.00072428497,85,991
300,-0.0080397865,-0.0014620656,85,2015
301,-0.00052623654,-0.0107247215,85,642
302,-0.0053530526,-0.003429611,85,1312
303,-0.049528334,0.024632523,85,447
304,-0.0063291993,-0.0033095267,85,1197
305,-0.0070017544,0.004475599,85,1934
306,-0.005742193,-0.0058826986,85,769
307,-0.0017490255,-0.004271639,85,918
308,-0.0061708274,-0.004803603,85,2346
309,-0.011518204,-0.0025175249,85,708
