,PCA01 (55.60),PCA02 (19.22),PCA03 (9.02),PCA04 (4.79),PCA05 (2.47),PCA06 (1.90),PCA07 (1.48),PCA08 (1.28),PCA09 (0.81),PCA10 (0.67),PCA11 (0.54),PCA12 (0.37),gene_ID,ndimage_ID
110,3.432716,0.54405373,3.7668595,-1.0399472,0.42119777,-1.0885978,1.5569363,0.2603699,0.26633012,-0.3640096,0.23962235,0.6485572,85,715
111,7.43158,-2.7257771,1.0536208,-0.29651594,-0.4293886,0.30025238,-1.0018214,0.18857998,-0.4145234,0.117220566,-0.044842392,-0.07776254,85,1425
112,3.009344,-0.29354388,2.4233305,-1.1247531,0.35587028,0.002403259,0.23879655,0.42835453,-0.18053058,-0.18991542,0.30975738,-0.007964749,85,1254
113,5.982037,-2.538818,1.4517425,-0.35138774,0.045952346,0.40309516,-0.71696883,0.086075485,-0.29804957,0.29664144,-0.19175172,-0.3881035,85,490
114,2.799884,-2.8796332,-0.820814,0.80220443,0.15745583,-0.06958482,-0.10944461,0.2333081,0.16252813,-0.08572008,-0.29385188,0.046440873,85,1493
115,3.2895253,-1.517282,1.5995456,-0.74605316,0.15150814,0.5045345,-0.09509805,0.29914898,0.037477314,-0.20743117,0.07682135,-0.06294527,85,1113
116,2.5319624,-2.6310554,-0.6031188,0.60808545,0.04393056,0.09464328,-0.11250402,0.08913551,0.31083763,-0.055238463,-0.17375562,0.14068629,85,1129
117,1.1527117,-1.3707289,-0.90778875,0.14995392,0.2866435,-0.11125173,0.07628945,0.41387573,0.043187827,0.0015050065,-0.3785016,-0.1676648,85,1353
118,5.936763,-1.726616,3.9505236,-1.1147109,0.60964406,0.12644857,0.24001034,0.2245836,-0.3424042,-0.13843986,0.33459842,-0.19642217,85,306
119,4.72884,-2.6659274,-0.11078651,0.27911803,0.7112472,0.06836835,-0.52262276,0.1448107,-0.123281464,0.524678,-0.38974136,-0.13998093,85,938
120,7.2286725,-2.4553041,2.810734,-0.80617493,-0.6437581,0.5760856,-0.76483494,-0.51799035,-0.5033209,0.32191294,0.34076855,-0.48836434,85,681
121,4.595253,-0.52956545,3.1968749,-1.0055535,0.38670465,-0.1671262,0.09735716,-0.3413717,-0.4095114,0.37471348,0.11013718,-0.31706446,85,272
