ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,number_nuclei,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
715,8431,8871,4248,4674,440,426,78440,2933,75507,0.9626083630800611,0,8642.96,4476.15,8643.06,4476.18,721
716,5624,5710,4250,4326,86,76,3992,0,3992,1.0,0,5665.72,4288.2,5665.24,4287.98,722
717,9285,9313,4253,4293,28,40,647,0,647,1.0,0,9299.67,4272.54,9299.17,4272.09,723
718,6101,6223,4258,4399,122,141,10340,0,10340,1.0,0,6160.34,4332.42,6159.82,4331.83,724
719,5775,5803,4262,4309,28,47,808,0,808,1.0,0,5787.91,4290.84,5787.44,4289.8,725
720,6551,6721,4265,4456,170,191,16336,0,16336,1.0,0,6637.0,4362.14,6636.47,4361.56,726
721,9300,9343,4272,4326,43,54,1493,0,1493,1.0,0,9319.38,4301.41,9318.92,4300.72,727
722,8725,8930,4282,4554,205,272,32765,0,32765,1.0,0,8813.44,4412.25,8813.09,4411.79,728
723,7847,8218,4290,4683,371,393,86932,1939,84993,0.9776952100492339,1,8043.68,4475.04,8043.2,4474.71,729
724,9110,9215,4290,4418,105,128,6746,0,6746,1.0,0,9155.86,4339.31,9155.46,4339.15,730
725,9298,9421,4290,4391,123,101,7428,0,7428,1.0,0,9357.62,4340.31,9357.22,4339.88,731
726,6510,6619,4292,4394,109,102,6822,0,6822,1.0,0,6561.1,4335.27,6560.68,4334.91,732
727,5926,6187,4295,4676,261,381,50229,586,49643,0.9883334328774214,1,6056.72,4477.77,6055.75,4477.59,733
728,6669,6859,4295,4464,190,169,19299,0,19299,1.0,0,6756.62,4380.53,6756.33,4380.06,734
729,7987,8024,4295,4340,37,45,1152,0,1152,1.0,0,8003.57,4318.18,8003.13,4317.65,735
730,5759,5859,4296,4408,100,112,7084,0,7084,1.0,0,5806.92,4346.63,5806.27,4346.35,736
731,9228,9321,4297,4442,93,145,7642,0,7642,1.0,0,9273.71,4374.68,9273.14,4374.0,737
732,5633,5695,4306,4355,62,49,2262,0,2262,1.0,0,5662.81,4331.71,5662.36,4331.18,738
733,9158,9254,4309,4431,96,122,6499,0,6499,1.0,0,9208.03,4374.75,9207.4,4374.25,739
734,9404,9479,4315,4393,75,78,3403,141,3262,0.9585659712018807,1,9439.84,4350.83,9439.23,4350.37,740
735,7239,7411,4317,4486,172,169,11398,0,11398,1.0,0,7320.34,4389.16,7319.6,4389.16,741
736,13404,13787,4343,4743,383,400,85219,1207,84012,0.9858364918621434,1,13587.53,4520.5,13587.22,4520.34,742
737,5624,5711,4344,4412,87,68,3481,0,3481,1.0,0,5666.33,4379.44,5665.94,4379.05,743
738,6178,6321,4360,4539,143,179,18687,0,18687,1.0,0,6244.22,4452.48,6243.75,4451.88,744
739,9308,9416,4366,4457,108,91,4738,0,4738,1.0,0,9354.68,4404.27,9354.42,4403.88,745
740,5943,6017,4367,4475,74,108,4599,0,4599,1.0,0,5988.75,4416.64,5988.1,4416.22,747
741,6444,6590,4367,4539,146,172,16866,0,16866,1.0,0,6514.43,4454.42,6513.94,4453.85,748
742,5710,5767,4368,4407,57,39,1664,0,1664,1.0,0,5742.71,4388.39,5741.85,4388.03,746
743,8427,8544,4372,4464,117,92,5675,0,5675,1.0,0,8493.89,4422.7,8493.08,4421.93,749
744,5550,5657,4373,4554,107,181,11280,3433,7847,0.6956560283687944,1,5599.15,4467.66,5598.4,4466.99,751
745,7666,7882,4373,4571,216,198,26127,0,26127,1.0,0,7772.84,4460.36,7772.22,4460.03,750
746,5770,5886,4375,4486,116,111,7767,997,6770,0.8716364104544869,0,5830.09,4425.19,5829.52,4424.72,752
747,7221,7564,4380,4747,343,367,71269,0,71269,1.0,0,7370.57,4553.06,7370.05,4552.68,754
748,6293,6475,4381,4589,182,208,26324,0,26324,1.0,0,6384.24,4490.29,6383.7,4489.78,753
749,6549,6957,4391,4618,408,227,53481,0,53481,1.0,0,6742.96,4514.2,6742.77,4513.62,756
750,8163,8304,4391,4635,141,244,23180,0,23180,1.0,0,8230.47,4500.46,8229.93,4500.15,757
751,9334,9424,4392,4495,90,103,4438,816,3622,0.8161333934204597,1,9380.69,4442.83,9380.19,4442.32,758
752,8903,9038,4395,4501,135,106,8095,302,7793,0.9626930203829525,1,8968.82,4449.93,8968.28,4449.42,759
753,5629,5713,4400,4450,84,50,3055,0,3055,1.0,0,5671.42,4422.59,5670.9,4422.11,760
754,5900,5979,4401,4514,79,113,3967,0,3967,1.0,0,5937.17,4457.19,5936.73,4456.52,762
755,5712,5777,4402,4440,65,38,1605,0,1605,1.0,0,5746.38,4419.65,5745.69,4419.13,761
756,8289,8472,4403,4538,183,135,19915,0,19915,1.0,0,8374.71,4470.95,8374.28,4470.47,763
757,9179,9234,4409,4464,55,55,1621,0,1621,1.0,0,9204.18,4434.42,9203.72,4434.05,764
758,9141,9183,4413,4484,42,71,2010,0,2010,1.0,0,9159.67,4449.04,9159.24,4448.52,765
759,5693,5815,4415,4695,122,280,14022,0,14022,1.0,0,5750.54,4557.82,5750.13,4557.4,766
760,9195,9335,4421,4574,140,153,11631,0,11631,1.0,0,9267.06,4497.5,9266.57,4497.02,767
761,5746,5811,4428,4498,65,70,3133,0,3133,1.0,0,5775.92,4465.15,5775.48,4464.61,768
762,4040,4347,4429,4780,307,351,68146,0,68146,1.0,0,4189.08,4603.08,4188.77,4602.5,769
763,9027,9076,4431,4476,49,45,1439,184,1255,0.872133425990271,1,9050.67,4455.04,9050.15,4454.41,770
764,7058,7262,4432,4595,204,163,20900,1724,19176,0.9175119617224881,1,7160.51,4517.27,7160.02,4516.68,771
765,4134,4198,4434,4479,64,45,1978,0,1978,1.0,0,4166.22,4453.62,4165.65,4453.41,772
766,5844,5926,4435,4538,82,103,4041,995,3046,0.7537738183617916,0,5892.65,4484.89,5891.94,4484.67,773
767,9196,9272,4435,4481,76,46,1948,0,1948,1.0,0,9231.65,4456.13,9231.25,4455.66,774
768,5649,5712,4441,4509,63,68,3191,0,3191,1.0,0,5678.39,4478.37,5677.96,4477.67,775
769,8831,8932,4454,4570,101,116,6824,0,6824,1.0,0,8886.92,4513.0,8886.28,4512.91,776
770,10896,11359,4457,5036,463,579,187988,0,187988,1.0,0,11126.67,4741.06,11126.02,4740.4,777
771,9151,9213,4462,4523,62,61,2623,0,2623,1.0,0,9181.58,4492.73,9181.13,4492.26,778
