ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
410,3398,3601,5958,6204,203,246,36761,0,36761,1.0,3491.17,6091.64,3490.78,6091.04,425
411,2369,2434,5959,6032,65,73,3435,0,3435,1.0,2399.97,5994.08,2399.52,5993.62,424
412,4474,4649,5959,6160,175,201,20687,191,20496,0.9907671484507179,4553.2,6062.38,4553.0,6061.78,426
413,4686,4791,5959,6065,105,106,6589,0,6589,1.0,4740.68,6012.99,4740.1,6012.5,427
414,2866,3049,5960,6180,183,220,28570,0,28570,1.0,2945.43,6065.86,2945.03,6065.34,428
415,1926,2027,5963,6074,101,111,6717,2648,4069,0.6057763882685723,1972.62,6013.18,1972.14,6012.73,429
416,7058,7192,5963,6070,134,107,6320,0,6320,1.0,7125.65,6031.51,7125.16,6030.65,430
417,2288,2376,5965,6108,88,143,7970,0,7970,1.0,2327.54,6041.83,2327.01,6041.16,431
418,2348,2377,5968,6033,29,65,1328,0,1328,1.0,2363.06,6000.6,2362.56,6000.1,432
419,2426,2472,5975,6022,46,47,1596,0,1596,1.0,2450.03,5995.7,2449.52,5995.31,433
420,4605,4649,5980,6028,44,48,1358,0,1358,1.0,4625.99,6008.84,4625.52,6008.13,434
421,2102,2171,5982,6059,69,77,3511,0,3511,1.0,2136.19,6018.36,2135.62,6017.97,435
422,2221,2298,5984,6102,77,118,5581,0,5581,1.0,2260.29,6043.55,2259.74,6042.89,436
423,2031,2110,5987,6065,79,78,3434,0,3434,1.0,2073.44,6024.96,2072.76,6024.49,437
424,4088,4291,5990,6176,203,186,26514,40,26474,0.9984913630534812,4191.61,6087.4,4191.17,6086.89,438
425,4662,4699,5992,6031,37,39,821,0,821,1.0,4682.98,6012.43,4682.31,6011.93,439
426,2187,2246,5999,6052,59,53,1237,0,1237,1.0,2215.64,6031.78,2215.73,6030.64,442
427,2782,2827,5999,6015,45,16,539,0,539,1.0,2802.78,6006.56,2802.55,6006.0,440
428,2674,2870,5999,6220,196,221,30345,0,30345,1.0,2785.32,6108.91,2784.73,6108.41,441
429,4848,4958,6001,6109,110,108,5858,0,5858,1.0,4902.66,6056.98,4902.1,6056.36,443
430,4722,4841,6005,6102,119,97,6085,0,6085,1.0,4782.05,6062.53,4781.61,6061.86,444
431,2366,2442,6013,6072,76,59,2544,0,2544,1.0,2403.04,6044.61,2402.71,6043.81,445
432,3813,4076,6015,6195,263,180,26990,1168,25822,0.9567247128566135,3922.86,6108.09,3922.76,6107.68,446
433,2408,2605,6018,6256,197,238,23517,0,23517,1.0,2502.71,6141.23,2502.17,6140.51,447
434,3173,3409,6019,6253,236,234,38583,602,37981,0.9843972734105694,3300.78,6145.17,3300.26,6144.61,448
435,4647,4693,6020,6068,46,48,1560,0,1560,1.0,4670.09,6043.39,4669.55,6042.87,449
436,2123,2244,6024,6164,121,140,10226,0,10226,1.0,2183.89,6098.15,2183.39,6097.45,450
437,1955,2039,6030,6118,84,88,4725,28,4697,0.9940740740740741,1996.95,6080.99,1996.52,6080.38,451
438,2022,2085,6031,6101,63,70,3155,749,2406,0.7625990491283676,2051.62,6067.68,2051.13,6067.11,452
439,4286,4406,6039,6176,120,137,9200,1528,7672,0.8339130434782609,4348.2,6104.38,4347.79,6104.01,453
440,4617,4717,6046,6151,100,105,5190,0,5190,1.0,4660.75,6102.19,4660.52,6101.75,454
441,0,658,6047,8115,658,2068,1002027,0,1002027,1.0,263.02,7116.74,263.15,7116.1,456
442,2074,2134,6047,6117,60,70,2714,0,2714,1.0,2104.95,6082.15,2104.36,6081.71,455
443,4831,4887,6055,6105,56,50,1671,0,1671,1.0,4859.17,6082.48,4858.68,6081.83,457
444,4675,4738,6057,6127,63,70,2799,0,2799,1.0,4707.35,6090.72,4706.83,6090.25,458
445,2318,2438,6064,6206,120,142,9929,0,9929,1.0,2375.93,6135.02,2375.54,6134.65,459
446,4383,4495,6071,6197,112,126,8679,0,8679,1.0,4437.11,6125.89,4436.71,6125.62,460
447,4772,4876,6078,6201,104,123,6905,0,6905,1.0,4831.2,6134.01,4830.48,6133.65,461
448,2242,2324,6080,6151,82,71,4329,0,4329,1.0,2284.61,6114.56,2284.1,6114.07,462
449,4582,4703,6081,6195,121,114,5815,0,5815,1.0,4639.94,6144.63,4639.4,6143.88,463
450,4864,4944,6088,6177,80,89,4192,0,4192,1.0,4902.07,6139.7,4901.5,6138.92,464
451,2950,3162,6089,6257,212,168,23415,0,23415,1.0,3048.06,6172.97,3047.67,6172.4,465
452,4914,4983,6095,6170,69,75,3124,0,3124,1.0,4951.51,6128.85,4950.92,6128.48,466
453,2056,2168,6099,6237,112,138,8093,1886,6207,0.7669591004571852,2120.71,6163.16,2120.25,6162.92,467
454,2011,2082,6101,6169,71,68,3164,0,3164,1.0,2045.82,6131.97,2045.31,6131.57,468
455,4722,4796,6101,6173,74,72,3798,0,3798,1.0,4760.21,6136.77,4759.66,6136.25,469
456,3550,3772,6107,6365,222,258,32635,0,32635,1.0,3671.47,6236.8,3670.89,6236.29,470
457,1940,2021,6108,6172,81,64,3375,0,3375,1.0,1978.87,6138.21,1978.4,6137.69,471
458,4264,4363,6108,6207,99,99,4918,12,4906,0.9975599837332249,4313.71,6158.17,4313.22,6157.71,472
459,395,925,6117,6850,530,733,159500,0,159500,1.0,605.86,6458.11,605.83,6457.31,473
460,3734,3977,6118,6354,243,236,31354,0,31354,1.0,3847.49,6228.98,3847.12,6228.63,474
461,2228,2297,6121,6174,69,53,1780,0,1780,1.0,2258.66,6151.31,2258.23,6150.63,475
462,4666,4786,6127,6279,120,152,9223,0,9223,1.0,4727.97,6210.49,4727.52,6209.85,476
463,3083,3181,6128,6291,98,163,9237,0,9237,1.0,3140.3,6225.43,3139.78,6224.52,477
464,6530,6950,6134,6693,420,559,147394,0,147394,1.0,6720.62,6416.68,6720.49,6416.53,478
465,4558,4681,6138,6247,123,109,6798,28,6770,0.9958811415122095,4614.35,6193.34,4614.01,6192.8,479
466,2158,2516,6140,6523,358,383,65700,36,65664,0.9994520547945206,2326.26,6326.34,2325.79,6325.59,480
467,2078,2273,6143,6379,195,236,25242,3345,21897,0.8674827668172094,2189.74,6266.26,2189.04,6265.86,481
468,4945,5052,6143,6223,107,80,4809,2968,1841,0.38282387190684136,4995.91,6181.36,4995.38,6180.88,482
469,1915,1977,6146,6206,62,60,2121,0,2121,1.0,1946.19,6174.3,1945.66,6173.83,483
470,4451,4653,6148,6309,202,161,17224,1672,15552,0.9029261495587553,4544.68,6231.58,4544.35,6231.23,484
471,1972,2038,6150,6211,66,61,2405,0,2405,1.0,2003.08,6183.89,2002.73,6183.19,485
472,4087,4257,6155,6299,170,144,19957,0,19957,1.0,4168.86,6223.05,4168.41,6222.59,486
473,3971,4120,6156,6348,149,192,20511,12,20499,0.9994149480766418,4041.03,6254.14,4040.6,6253.66,487
474,4773,4830,6157,6225,57,68,2467,0,2467,1.0,4799.28,6190.42,4798.84,6189.91,488
475,4332,4480,6159,6336,148,177,18228,49,18179,0.9973118279569892,4402.87,6249.6,4402.42,6249.08,489
476,2814,2974,6160,6320,160,160,16669,247,16422,0.9851820745095686,2891.81,6237.3,2891.35,6236.86,490
477,2051,2089,6162,6240,38,78,1760,0,1760,1.0,2071.17,6206.69,2070.43,6205.74,493
478,2025,2059,6163,6236,34,73,1707,0,1707,1.0,2044.04,6199.12,2043.53,6198.6,491
479,4241,4333,6163,6278,92,115,7024,344,6680,0.9510250569476082,4290.82,6219.76,4290.2,6219.21,492
480,1881,1949,6167,6237,68,70,3019,529,2490,0.8247764160317986,1912.67,6205.13,1912.22,6204.46,494
481,4822,4919,6171,6232,97,61,3595,0,3595,1.0,4873.24,6200.27,4872.66,6199.74,495
482,4919,4952,6171,6202,33,31,764,0,764,1.0,4936.43,6187.85,4935.86,6187.21,496
483,3335,3562,6179,6386,227,207,31004,0,31004,1.0,3444.86,6278.02,3444.31,6277.55,497
484,4981,5092,6179,6273,111,94,5895,70,5825,0.9881255301102629,5044.5,6229.02,5043.78,6228.45,498
485,1770,1893,6183,6323,123,140,11111,2551,8560,0.7704077040770407,1835.62,6257.4,1835.07,6256.87,499
486,4884,5014,6185,6274,130,89,5885,0,5885,1.0,4950.99,6237.26,4950.3,6236.61,504
487,2072,2134,6186,6281,62,95,3987,0,3987,1.0,2106.01,6233.62,2105.36,6233.17,500
488,2552,2674,6186,6278,122,92,6302,0,6302,1.0,2610.03,6230.4,2609.51,6229.99,501
489,2683,2827,6190,6308,144,118,9641,0,9641,1.0,2761.24,6243.62,2760.57,6243.17,502
490,5982,6594,6191,6761,612,570,245975,4282,241693,0.9825917268015042,6289.98,6476.44,6289.68,6476.04,503
491,1933,1982,6198,6264,49,66,1984,0,1984,1.0,1956.09,6229.4,1955.64,6228.96,505
492,1976,2043,6200,6268,67,68,2899,0,2899,1.0,2009.15,6235.72,2008.67,6235.06,506
493,3546,3658,6201,6397,112,196,11441,0,11441,1.0,3589.97,6313.15,3589.45,6312.13,507
494,4765,4832,6206,6259,67,53,2320,0,2320,1.0,4801.31,6236.04,4800.8,6235.31,508
495,1744,1793,6211,6288,49,77,2329,732,1597,0.6857020180334907,1766.96,6249.41,1766.56,6248.84,509
496,4825,4940,6215,6316,115,101,6068,0,6068,1.0,4882.68,6265.96,4882.06,6265.38,510
497,3122,3530,6221,6714,408,493,114736,2292,112444,0.9800237065960117,3318.36,6467.24,3317.8,6466.7,511
498,2563,2774,6228,6429,211,201,30756,0,30756,1.0,2664.74,6334.15,2664.28,6333.63,512
499,4647,4713,6231,6297,66,66,2896,960,1936,0.6685082872928176,4678.1,6264.55,4677.65,6264.05,513
500,1890,1938,6233,6281,48,48,1593,0,1593,1.0,1913.21,6254.72,1912.8,6254.36,514
501,1948,2036,6234,6382,88,148,7821,0,7821,1.0,1991.72,6311.12,1991.24,6310.42,515
502,2031,2080,6235,6291,49,56,1977,0,1977,1.0,2054.37,6261.74,2053.88,6261.3,516
503,2910,3242,6245,6790,332,545,107608,0,107608,1.0,3073.77,6562.62,3073.28,6561.8,517
504,2907,3078,6247,6368,171,121,14778,210,14568,0.9857896873731222,2997.81,6308.31,2997.23,6307.76,518
505,4755,4897,6250,6460,142,210,16931,0,16931,1.0,4822.02,6349.04,4821.5,6348.55,521
506,4223,4312,6252,6342,89,90,5042,0,5042,1.0,4272.39,6295.68,4271.74,6295.19,519
507,2451,2573,6253,6397,122,144,12628,0,12628,1.0,2517.64,6328.77,2517.08,6328.17,520
508,3900,3993,6254,6365,93,111,6457,0,6457,1.0,3945.98,6313.24,3945.55,6312.6,522
509,1911,1957,6260,6309,46,49,1472,0,1472,1.0,1934.23,6287.04,1933.75,6286.41,523
510,5043,5118,6261,6368,75,107,4785,2273,2512,0.5249738766980147,5082.67,6306.36,5082.27,6306.21,524
511,4991,5049,6262,6324,58,62,2638,0,2638,1.0,5019.24,6294.53,5018.86,6294.04,526
512,4687,4789,6263,6362,102,99,5158,0,5158,1.0,4739.42,6312.35,4738.94,6311.86,525
513,1870,1916,6267,6305,46,38,996,0,996,1.0,1894.85,6287.46,1894.24,6286.94,527
514,4310,4354,6268,6311,44,43,1186,0,1186,1.0,4328.68,6293.16,4328.38,6292.5,530
515,4411,4868,6268,6669,457,401,74072,287,73785,0.9961253915109624,4653.13,6458.44,4652.54,6458.0,529
516,4914,4995,6268,6384,81,116,6926,0,6926,1.0,4954.78,6324.51,4954.25,6324.04,528
517,2019,2087,6270,6370,68,100,4486,0,4486,1.0,2053.2,6325.74,2052.83,6324.89,531
518,5869,6071,6271,6505,202,234,27481,740,26741,0.9730723045012918,5961.27,6380.41,5960.79,6379.77,532
519,2746,2918,6279,6448,172,169,20144,170,19974,0.9915607625099285,2830.56,6369.47,2830.06,6368.95,533
520,1701,1798,6286,6440,97,154,8802,507,8295,0.9423994546693933,1749.66,6368.67,1749.16,6367.99,534
521,4079,4290,6286,6492,211,206,31319,0,31319,1.0,4184.68,6386.86,4184.17,6386.31,535
522,4659,4714,6295,6353,55,58,2058,0,2058,1.0,4683.7,6324.95,4683.3,6324.4,536
523,1837,1913,6298,6336,76,38,2088,0,2088,1.0,1876.03,6317.71,1875.45,6317.21,538
524,3772,3808,6298,6331,36,33,772,0,772,1.0,3785.87,6312.17,3785.58,6311.78,537
525,1909,1966,6301,6361,57,60,2230,1093,1137,0.5098654708520179,1940.99,6329.0,1940.48,6328.56,539
