,tSNE01,tSNE02,gene_ID,ndimage_ID
1733,-3.5419528,2.564862,28,1538
1734,-0.7019711,-3.0245216,28,1206
1735,2.7030177,-1.1863265,28,1502
1736,-0.5477642,0.46856138,28,1284
1737,-2.796867,2.3962874,28,1631
1738,0.5464051,-5.0193605,28,1701
1739,-2.4187193,2.2106543,28,915
1740,3.8244908,-1.3269683,28,798
1741,5.9666715,-0.6357469,28,1304
1742,0.7234932,-4.9476132,28,683
1743,-5.571127,1.7175647,28,427
1744,0.39669022,-4.774521,28,815
1745,5.255665,-1.0854689,28,1518
1746,-5.5113764,1.7192776,28,1290
1747,6.0283012,-0.57168764,28,1669
1748,0.49704105,-4.810566,28,529
1749,-1.369247,-2.3310008,28,1043
1750,5.9065356,-0.6872293,28,2515
1751,5.292664,-1.0695266,28,1172
1752,-1.7685649,1.6523938,28,333
1753,-6.258909,0.6721946,28,627
1754,1.7749124,-0.91614676,28,862
1755,-3.910922,-0.74990255,28,443
1756,1.9762958,-5.324434,28,1398
1757,-4.0433836,2.490712,28,522
1758,0.49399605,-4.9602265,28,2235
1759,-3.5988445,-0.8703709,28,372
1760,2.1078808,-5.4328294,28,1891
1761,-3.6415083,2.5583553,28,806
1762,-6.1747074,0.950268,28,982
1763,5.0321493,-1.1586058,28,608
1764,-4.314654,2.3881428,28,1457
1765,-2.3225775,2.141326,28,496
1766,2.8041584,-1.2053977,28,1078
1767,2.1098628,-5.4019737,28,1088
1768,-5.0271044,2.0791883,28,1950
1769,-0.22219405,-3.7327342,28,2307
1770,-3.7127595,2.5515506,28,1598
1771,6.0270286,-0.57632595,28,434
1772,-2.9883687,-1.179104,28,541
1773,-1.8327545,-1.9622185,28,1293
1774,-4.536207,-0.56372255,28,1824
1775,1.2625451,-5.4502444,28,1917
1776,1.5408223,-5.5942326,28,2364
1777,-3.1607866,-1.0701329,28,455
1778,0.47693995,-4.9069242,28,1604
1779,-5.6062446,-0.19333696,28,1842
1780,-0.8642437,-2.8167768,28,2461
1781,-3.7291033,2.54696,28,463
1782,5.89042,-0.6999751,28,1456
1783,-1.1354527,-2.527618,28,1945
1784,1.4679873,-0.79752713,28,1918
1785,-2.619572,-1.3890753,28,2222
1786,-4.4772043,-0.579604,28,861
1787,4.0193124,-1.3273972,28,1734
1788,-1.7799224,-5.001019,28,1212
1789,-1.6043352,-2.104815,28,1605
1790,-5.0381155,2.0836127,28,1102
1791,-0.56671697,0.4858111,28,2416
1792,-6.2101216,0.5399543,28,887
1793,-5.659392,1.6484244,28,1916
1794,-5.5641522,1.6969154,28,941
1795,-2.013953,-5.0571637,28,188
1796,5.856856,-0.7231715,28,553
1797,-5.9463034,1.3282899,28,935
1798,-5.83655,1.4635421,28,2261
1799,-4.4989524,-0.5719176,28,377
1800,-2.4899979,2.2619374,28,1380
1801,-1.8542396,1.7282022,28,552
1802,-1.9609565,1.8241969,28,859
1803,-1.9187075,1.798297,28,2282
1804,-5.9372544,-0.023536839,28,1479
1805,-2.1337886,-4.9397407,28,493
1806,-2.3524315,-1.5719519,28,2041
1807,-1.6404885,-2.0934784,28,1436
1808,-6.2030444,0.6683122,28,1350
